Category	Included_for_CRISPRi	Entrez_ID	Gene_symbol	Achilles_mean_probability	Achilles_num_essential	Achilles_num_cell_lines	Achilles_common	BlomenHart_intersect	BlomenHart_intersect_DepMap	Hart_3_or_more_lines	Hart_HeLa	Blomen_HAP1_KBM7_intersect
Vacuolation hits	Yes	11186	RASSF1	0.0163610599241723	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23272	TASOR	0.0298836776508976	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3694	ITGB6	0.0355635172066091	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	388276	C16orf97				N/A	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	23770	FKBP8	0.180391655093124	21	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	6240	RRM1	0.995457398506922	807	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	930	CD19	0.0291147720430906	12	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	252983	STXBP4	0.0134601896508352	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4357	MPST	0.0222996075328195	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54033	RBM11	0.00479937350139486	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2745	GLRX	0.000872709755416489	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10656	KHDRBS3	0.0666319556642718	6	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	147906	DACT3	0.170284066495731	29	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	80856	LNPK	0.0100146681529036	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	116092	DNTTIP1	0.0497547305949447	9	808	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	64067	NPAS3	0.0195586546362205	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2184	FAH	0.025139015800523	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	164395	TTLL9	0.00363362686016528	0	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	5719	PSMD13	0.969088455945543	807	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	85478	CCDC65	0.0385632481758856	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	26280	IL1RAPL2		0	805	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	54813	KLHL28	0.00690008224024154	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57409	MIF4GD	0.0696343437732359	6	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5092	PCBD1		4	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	26297	SERGEF	0.0263650137639098	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	22852	ANKRD26	0.00244420456021368	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	284254	DYNAP	0.00208135061574607	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23366	KIAA0895	0.00374018059039366	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	7014	TERF2		790	796	Essential	N/A	N/A	Essential	Essential	N/A
Vacuolation hits	Yes	10628	TXNIP	0.00526410947100762	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	93323	HAUS8	0.775926031397413	735	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	114799	ESCO1	0.0259717992951681	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6631	SNRPC	0.966541967784855	807	808	Essential	Essential	Essential	Essential	Non-essential	Essential
Vacuolation hits	Yes	136306	SVOPL	0.0249501376845105	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	7053	TGM3	0.0037120615779032	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	81894	SLC25A28	0.370696477490364	255	808	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential
Vacuolation hits	Yes	114571	SLC22A9	0.0913734940640479	7	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57369	GJD2	0.00877897995516671	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	117245	PLAAT5	0.135577691647468	21	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	158724	FAM47A		0	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	122740	OR4K14	0.00681353453966406	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	200576	PIKFYVE	0.00861492686606863	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84659	RNASE7	0.0202011929465825	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10322	SMYD5		14	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	284525	SLC9C2	0.00565648131481077	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54978	SLC35F6	0.0220047054813367	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
LSm genes	Yes	51691	LSM8	0.975426200094044	806	808	Essential	N/A	N/A	N/A	N/A	Essential
Vacuolation hits	Yes	3768	KCNJ12	0.132775936182263	16	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	169200	TMEM64	0.29357163809643	120	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6404	SELPLG	0.0458945472367301	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	124245	ZC3H18	0.818879468029667	761	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	53841	CDHR5	0.0143521842008993	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23237	ARC	0.00835043175141704	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79842	ZBTB3	0.0971013600615142	7	808	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	5371	PML		1	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	28987	NOB1	0.948728548987736	805	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	5725	PTBP1	0.652039144889518	581	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	21	ABCA3	0.0290170400708662	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	11024	LILRA1	0.00944869944376704	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	134553	C5orf24	0.0225042972910984	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79856	SNX22	0.153492529139357	12	808	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	23371	TNS2	0.224621392627879	49	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3713	IVL	0.000583300068652565	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	27019	DNAI1	0.0362258447794264	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	284340	CXCL17	0.0480666659038924	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	56729	RETN	0.0426230788642435	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	64397	ZNF106	0.129906490613404	18	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	547	KIF1A	0.0743512285200035	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10245	TIMM17B		1	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3597	IL13RA1		2	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4836	NMT1	0.797945424894885	688	808	Essential	N/A	N/A	Essential	Essential	N/A
Vacuolation hits	Yes	9820	CUL7	0.377219379107522	224	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	7023	TFAP4	0.361402511957765	257	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5571	PRKAG1	0.112006071812667	17	808	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	146279	TEKT5	0.0279641951595449	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23335	WDR7	0.920556260018593	789	808	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	55627	SMPD4	0.0575193919705922	11	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1143	CHRNB4	0.013753935164957	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	51003	MED31		299	796	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	2634	GBP2	0.0327597813691723	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9868	TOMM70	0.293650868134134	181	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	27258	LSM3	0.952463494698151	807	808	Essential	N/A	N/A	N/A	N/A	Essential
Vacuolation hits	Yes	4599	MX1	0.0254232468615249	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10538	BATF	0.0117296573397046	5	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	284467	TAFA3	0.044630542858965	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10257	ABCC4	0.0149419002529518	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54932	EXD3	0.0143449757125069	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	8836	GGH	0.0078141939827465	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6331	SCN5A	0.0563485490521425	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57594	HOMEZ	0.0655984238014795	4	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	221443	OARD1	0.0242042710101906	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23576	DDAH1	0.00214909294580487	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84262	PSMG3	0.931191266290291	796	808	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	931	MS4A1	0.00178763315659875	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	439915	KRTAP5-5	0.0505533365167907	2	808	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	3066	HDAC2		13	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23451	SF3B1	0.975515907299984	808	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	2523	FUT1	0.0626919449933796	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	60487	TRMT11	0.00913499150081159	0	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	10319	LAMC3	0.0484612285220678	4	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57544	TXNDC16	0.0224637603537058	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
