Category	Included_for_CRISPRi	Entrez_ID	Gene_symbol	Achilles_mean_probability	Achilles_num_essential	Achilles_num_cell_lines	Achilles_common	BlomenHart_intersect	BlomenHart_intersect_DepMap	Hart_3_or_more_lines	Hart_HeLa	Blomen_HAP1_KBM7_intersect
Vacuolation hits	Yes	6668	SP2	0.441652312569998	328	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3036	HAS1	0.015959785857475	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3234	HOXD8	0.0254880865553502	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	8665	EIF3F	0.878029489447424	779	808	Essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	340811	AKR1C8P				N/A	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	56139	PCDHA10	0.006851195644895	0	808	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	7745	ZKSCAN8	0.01652472318691	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	80031	SEMA6D	0.0115402778953997	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	51191	HERC5	0.0375803190787687	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	146433	IL34	0.128320424981698	15	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	7224	TRPC5		0	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79085	SLC25A23	0.00936474119021922	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84153	RNASEH2C	0.483279386911562	385	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	92840	REEP6	0.0608739318549658	5	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57569	ARHGAP20	0.00487354837409824	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1036	CDO1		0	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6783	SULT1E1	0.0389296394442604	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57488	ESYT2	0.0172984144091865	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	901	CCNG2	0.00104271017500435	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	727910	TLCD2	0.0149448509228315	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3426	CFI	0.00828411849313312	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	90522	YIF1B	0.0443760673786946	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	135892	TRIM50	0.0866638542869098	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5082	PDCL	0.397815154769893	297	808	Non-essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	10559	SLC35A1	0.131991145477176	51	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	64407	RGS18	0.0115138586510244	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84502	JPH4	0.20267374773936	48	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4548	MTR	0.106402605933114	44	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	133688	UGT3A1	0.012907385155001	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23318	TUT4	0.00907253589714184	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2555	GABRA2	0.00341453572856321	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	11040	PIM2		30	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	55211	DPPA4	0.00663523503979199	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23062	GGA2	0.00783003191667974	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6281	S100A10	0.00225865971925759	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	56951	C5orf15	0.105724693816921	10	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
LSm genes	Yes	51690	LSM7	0.978814572735595	807	808	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	5055	SERPINB2	0.00327333006064607	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84190	METTL25	0.14951000676566	26	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	7364	UGT2B7	0.0160024892370034	0	808	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	81603	TRIM8	0.0199799589673514	9	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10570	DPYSL4	0.017073394069112	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	43	ACHE	0.178970099876989	28	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	441907	LOC441907				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	6720	SREBF1	0.406994660278269	280	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23593	HEBP2	0.0115408154543345	0	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	4340	MOG	0.629842933502486	605	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	121278	TPH2	0.227228447776232	60	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	27146	FAM184B	0.000911663762055927	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5009	OTC		0	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9942	XYLB	0.00272105903750847	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	50846	DHH	0.0446683662973604	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5976	UPF1		790	796	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	79861	TUBAL3	0.00414665835795776	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	117289	TAGAP	0.00302882633921849	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	80127	BBOF1	0.0343232428573544	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1041	CDSN	0.0468752186147625	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79623	GALNT14	0.0219037323430005	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	27179	IL36A	0.157201836634525	16	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4974	OMG	0.0216656957438155	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	8861	LDB1		81	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84286	TMEM175	0.00198750575485447	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3543	IGLL1	0.0262408043896779	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84131	CEP78	0.132299406465077	22	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1123	CHN1	0.00135635408501271	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57819	LSM2	0.998818639970743	808	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	8356	H3C12	0.120466475575421	11	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	158866	ZDHHC15		3	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	25929	GEMIN5	0.988254814130056	807	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	30010	NXPH1	0.0103609938025697	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9953	HS3ST3B1	0.0390675554010586	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10166	SLC25A15	0.0180543921308464	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	308	ANXA5	0.00396654533764054	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1072	CFL1	0.639109739695852	542	808	Essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	126326	GIPC3	0.0844204581939854	5	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	5436	POLR2G		793	796	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	1291	COL6A1	0.00521964321895884	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5539	PPY	0.706504776072445	725	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54920	DUS2	0.0564634615938394	4	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10357	HMGB1P1				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	11243	PMF1		795	796	Essential	Essential	Essential	Essential	Non-essential	Essential
Vacuolation hits	Yes	25841	ABTB2	0.0101102293008766	0	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	10206	TRIM13	0.00817333046970326	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9326	ZNHIT3	0.822221142878594	743	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	3161	HMMR	0.0231528058474345	4	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4141	MARS1	0.983387870726991	807	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	50485	SMARCAL1		13	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	158248	TTC16	0.00169699748900814	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	26504	CNNM4	0.0368053231811997	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23630	KCNE5		0	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	340024	SLC6A19	0.0138662921318407	4	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10574	CCT7	0.572296584036843	530	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	85378	TUBGCP6	0.797086127129456	754	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	9819	TSC22D2	0.493840144305755	412	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	121340	SP7	0.115110309755829	11	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9194	SLC16A7	0.0281796024089024	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10444	ZER1	0.134224243819621	30	808	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	617	BCS1L	0.546151390388995	478	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	155435	RBM33	0.422864521020907	327	808	Non-essential	Essential	Essential	Essential	Non-essential	Essential
Vacuolation hits	Yes	1294	COL7A1	0.172642333242325	22	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2181	ACSL3	0.386428667318882	276	808	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential
Vacuolation hits	Yes	1809	DPYSL3	0.00358515512572772	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	768239	PSAPL1	0.00374049409163618	0	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	729911	ANKRD34C-AS1				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	29799	YPEL1	0.419445404379963	291	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4330	MN1	0.00363141293153781	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54553	MIR4453HG				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	3381	IBSP	0.00724593609082339	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	27159	CHIA	0.00921987847718159	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9362	CPNE6	0.155429205698445	17	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	8487	GEMIN2	0.314269549946582	178	808	Non-essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	80097	MZT2B	0.0712419137286832	9	808	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	7328	UBE2H	0.531079219189659	440	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	644890	MEIG1	0.000336138751047863	0	808	Non-essential	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	10325	RRAGB		0	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	260294	NSUN5P2				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	23082	PPRC1	0.714402851887538	691	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	399665	FAM102A	0.0358170563545736	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4313	MMP2	0.0257500531873896	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	56126	PCDHB10	0.0248828545171182	0	808	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	26140	TTLL3	0.0238630604371907	1	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	221833	SP8	0.0659237295115481	12	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57758	SCUBE2	0.00222640578211833	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	118430	MUCL1	0.023995646442446	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79645	EFCAB1	0.0018961806262578	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	388677	NOTCH2NLA				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	9443	MED7		749	796	Essential	Essential	Essential	Essential	Non-essential	Essential
Vacuolation hits	Yes	7109	TRAPPC10	0.0250994670417805	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2304	FOXE1	0.0461496281376807	5	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	58497	PRUNE1	0.271298131626425	121	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	158584	FAAH2		0	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	782	CACNB1	0.143977612918829	18	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	8288	EPX	0.0632528568961233	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6283	S100A12	0.0694372799927819	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5682	PSMA1	0.999219142832699	808	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	29980	DONSON	0.99679367405769	807	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	26027	ACOT11	0.025026495920673	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6159	RPL29	0.751240450663773	739	808	Essential	Essential	Essential	Essential	Non-essential	Essential
Vacuolation hits	Yes	90806	ANGEL2	0.027202968883834	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6881	TAF10		724	796	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	326	AIRE		0	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23229	ARHGEF9		0	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2264	FGFR4	0.025544259383524	6	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23469	PHF3		0	796	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	25807	RHBDD3	0.0266291539400965	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	80318	GKAP1	0.0090295085272932	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84798	C19orf48				N/A	Non-essential	N/A	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3703	STT3A	0.227783244789843	138	808	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	57037	ANKMY2	0.0570005555008642	9	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4647	MYO7A	0.0510718717541306	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6949	TCOF1	0.64930289107943	584	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	11080	DNAJB4	0.00731837235330546	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	284098	PIGW	0.154813872320457	27	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	51279	C1RL	0.00338589307039445	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	341116	MS4A10	0.0534378773933824	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	22866	CNKSR2		18	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5376	PMP22	0.0375722029891126	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5702	PSMC3		795	796	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	57472	CNOT6	0.06570989843592	4	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54606	DDX56	0.993208299865285	808	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	56922	MCCC1	0.0194247235421868	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	222658	KCTD20	0.0172830378969575	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	11157	LSM6	0.923253031946143	804	808	Essential	N/A	N/A	N/A	N/A	Essential
Vacuolation hits	Yes	256435	ST6GALNAC3	0.0437417793617575	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	116225	ZMYND19	0.016339617992435	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	90390	MED30		796	796	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	8671	SLC4A4	0.00893422074914063	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	51264	MRPL27	0.843019089406078	786	808	Essential	Essential	Essential	Essential	Non-essential	Essential
Vacuolation hits	Yes	23481	PES1	0.92097194294692	799	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	27433	TOR2A	0.505297579420222	429	808	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	130162	CLHC1	0.0372917058505773	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	25803	SPDEF	0.0184283889540953	12	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	26025	PCDHGA12	0.0272953448775882	0	808	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	254295	PHYHD1		0	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	27076	LYPD3	0.0183211207459521	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	81469	OR2G3	0.00946944148923342	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	55002	TMCO3	0.201243515428217	42	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	No	553128	KIR2DL5B				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	643085	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	651732	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	653348	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	728200	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	728303	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	728316	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	728628	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	728789	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	728804	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	729715	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	730132	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	730194	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	730240	N/A				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	731286	N/A				N/A	N/A	N/A	N/A	N/A	N/A
