43. 	 ΔG = -3.4 	 ΔH = -39.8 	 ΔS = -117.3 	 Tm = 10.9°C 	 Image: PNG PDF 	 Thermodynamic details
44. 	 ΔG = -4.2 	 ΔH = -26.5 	 ΔS = -72.0 	 Tm = -1.7°C 	 Image: PNG PDF 	 Thermodynamic details
45. 	 ΔG = -3.4 	 ΔH = -30.6 	 ΔS = -87.8 	 Tm = -3.5°C 	 Image: PNG PDF 	 Thermodynamic details
46. 	 ΔG = -3.1 	 ΔH = -24.0 	 ΔS = -67.4 	 Tm = -15.2°C 	 Image: PNG PDF 	 Thermodynamic details
47. 	 ΔG = -4.2 	 ΔH = -26.5 	 ΔS = -72.0 	 Tm = -1.7°C 	 Image: PNG PDF 	 Thermodynamic details
48. 	 ΔG = -7.0 	 ΔH = -49.6 	 ΔS = -137.3 	 Tm = 36.5°C 	 Image: PNG PDF 	 Thermodynamic details
49. 	 ΔG = -7.7 	 ΔH = -82.8 	 ΔS = -242.1 	 Tm = 39.3°C 	 Image: PNG PDF 	 Thermodynamic details
50. 	 ΔG = -5.0 	 ΔH = -79.5 	 ΔS = -240.3 	 Tm = 25.8°C 	 Image: PNG PDF 	 Thermodynamic details
51. 	 ΔG = -3.3 	 ΔH = -24.4 	 ΔS = -68.1 	 Tm = -12.9°C 	 Image: PNG PDF 	 Thermodynamic details
52. 	 ΔG = -4.3 	 ΔH = -30.7 	 ΔS = -85.1 	 Tm = 4.1°C 	 Image: PNG PDF 	 Thermodynamic details
53. 	 ΔG = -5.0 	 ΔH = -79.5 	 ΔS = -240.3 	 Tm = 25.8°C 	 Image: PNG PDF 	 Thermodynamic details
54. 	 ΔG = -3.1 	 ΔH = -56.8 	 ΔS = -173.3 	 Tm = 16.4°C 	 Image: PNG PDF 	 Thermodynamic details
55. 	 ΔG = -3.1 	 ΔH = -14.5 	 ΔS = -36.8 	 Tm = -40.9°C 	 Image: PNG PDF 	 Thermodynamic details
56. 	 ΔG = -5.0 	 ΔH = -23.4 	 ΔS = -59.5 	 Tm = 1.8°C 	 Image: PNG PDF 	 Thermodynamic details
57. 	 ΔG = -3.3 	 ΔH = -24.4 	 ΔS = -68.1 	 Tm = -12.9°C 	 Image: PNG PDF 	 Thermodynamic details
58. 	 ΔG = -3.1 	 ΔH = -14.5 	 ΔS = -36.8 	 Tm = -40.9°C 	 Image: PNG PDF 	 Thermodynamic details
59. 	 ΔG = -4.5 	 ΔH = -41.4 	 ΔS = -119.0 	 Tm = 18.7°C 	 Image: PNG PDF 	 Thermodynamic details
60. 	 ΔG = -3.6 	 ΔH = -26.8 	 ΔS = -74.9 	 Tm = -6.5°C 	 Image: PNG PDF 	 Thermodynamic details
61. 	 ΔG = -4.3 	 ΔH = -30.7 	 ΔS = -85.1 	 Tm = 4.1°C 	 Image: PNG PDF 	 Thermodynamic details
62. 	 ΔG = -5.0 	 ΔH = -23.4 	 ΔS = -59.5 	 Tm = 1.8°C 	 Image: PNG PDF 	 Thermodynamic details
