1. 	 ΔG = -6.2 	 ΔH = -44.0 	 ΔS = -121.9 	 Tm = 25.1°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -5.4 	 ΔH = -41.6 	 ΔS = -116.8 	 Tm = 18.8°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -7.7 	 ΔH = -52.1 	 ΔS = -143.1 	 Tm = 35.6°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -4.5 	 ΔH = -50.8 	 ΔS = -149.4 	 Tm = 17.1°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -4.6 	 ΔH = -22.9 	 ΔS = -58.9 	 Tm = 6.9°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -3.7 	 ΔH = -34.1 	 ΔS = -98.1 	 Tm = 2.3°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -4.4 	 ΔH = -55.6 	 ΔS = -165.1 	 Tm = 18.4°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -5.2 	 ΔH = -43.7 	 ΔS = -124.1 	 Tm = 18.7°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -3.1 	 ΔH = -23.0 	 ΔS = -64.2 	 Tm = -17.2°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -4.6 	 ΔH = -40.4 	 ΔS = -115.3 	 Tm = 13.4°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -3.7 	 ΔH = -26.0 	 ΔS = -71.8 	 Tm = -6.3°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -3.7 	 ΔH = -34.1 	 ΔS = -98.1 	 Tm = 2.3°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -4.0 	 ΔH = -40.3 	 ΔS = -116.9 	 Tm = 15.1°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -7.3 	 ΔH = -67.8 	 ΔS = -194.9 	 Tm = 34.3°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -4.2 	 ΔH = -41.7 	 ΔS = -120.9 	 Tm = 11.4°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -3.9 	 ΔH = -36.1 	 ΔS = -103.8 	 Tm = 5.8°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -7.8 	 ΔH = -55.2 	 ΔS = -152.8 	 Tm = 36.2°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -3.4 	 ΔH = -20.1 	 ΔS = -54.0 	 Tm = -20.8°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -4.4 	 ΔH = -55.6 	 ΔS = -165.1 	 Tm = 18.4°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -7.3 	 ΔH = -67.8 	 ΔS = -194.9 	 Tm = 34.3°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -10.6 	 ΔH = -70.5 	 ΔS = -193.1 	 Tm = 53.3°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -5.2 	 ΔH = -29.2 	 ΔS = -77.3 	 Tm = 10.5°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -5.7 	 ΔH = -84.0 	 ΔS = -252.3 	 Tm = 29.0°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -7.1 	 ΔH = -48.0 	 ΔS = -131.9 	 Tm = 31.6°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -8.5 	 ΔH = -83.0 	 ΔS = -240.3 	 Tm = 42.2°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -7.0 	 ΔH = -40.5 	 ΔS = -107.9 	 Tm = 30.1°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -6.9 	 ΔH = -61.7 	 ΔS = -176.6 	 Tm = 32.0°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -8.0 	 ΔH = -53.7 	 ΔS = -147.2 	 Tm = 37.5°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -6.9 	 ΔH = -50.4 	 ΔS = -140.2 	 Tm = 30.8°C 	 Image: PNG PDF 	 Thermodynamic details
30. 	 ΔG = -6.3 	 ΔH = -27.6 	 ΔS = -68.5 	 Tm = 20.0°C 	 Image: PNG PDF 	 Thermodynamic details
31. 	 ΔG = -5.3 	 ΔH = -59.7 	 ΔS = -175.2 	 Tm = 24.1°C 	 Image: PNG PDF 	 Thermodynamic details
32. 	 ΔG = -7.0 	 ΔH = -40.5 	 ΔS = -107.9 	 Tm = 30.1°C 	 Image: PNG PDF 	 Thermodynamic details
33. 	 ΔG = -5.0 	 ΔH = -32.9 	 ΔS = -90.1 	 Tm = 18.0°C 	 Image: PNG PDF 	 Thermodynamic details
34. 	 ΔG = -4.0 	 ΔH = -32.4 	 ΔS = -91.4 	 Tm = 3.6°C 	 Image: PNG PDF 	 Thermodynamic details
35. 	 ΔG = -3.8 	 ΔH = -33.6 	 ΔS = -96.1 	 Tm = 2.8°C 	 Image: PNG PDF 	 Thermodynamic details
36. 	 ΔG = -6.8 	 ΔH = -43.8 	 ΔS = -119.3 	 Tm = 29.1°C 	 Image: PNG PDF 	 Thermodynamic details
37. 	 ΔG = -3.3 	 ΔH = -24.1 	 ΔS = -67.1 	 Tm = -13.3°C 	 Image: PNG PDF 	 Thermodynamic details
38. 	 ΔG = -6.7 	 ΔH = -38.7 	 ΔS = -103.1 	 Tm = 27.4°C 	 Image: PNG PDF 	 Thermodynamic details
39. 	 ΔG = -6.9 	 ΔH = -61.7 	 ΔS = -176.6 	 Tm = 32.0°C 	 Image: PNG PDF 	 Thermodynamic details
