43. 	 ΔG = -2.1 	 ΔH = -29.8 	 ΔS = -89.3 	 Tm = -7.4°C 	 Image: PNG PDF 	 Thermodynamic details
44. 	 ΔG = -3.3 	 ΔH = -32.0 	 ΔS = -92.6 	 Tm = -2.4°C 	 Image: PNG PDF 	 Thermodynamic details
45. 	 ΔG = -3.3 	 ΔH = -25.2 	 ΔS = -70.5 	 Tm = -11.1°C 	 Image: PNG PDF 	 Thermodynamic details
46. 	 ΔG = -3.5 	 ΔH = -33.1 	 ΔS = -95.3 	 Tm = 0.5°C 	 Image: PNG PDF 	 Thermodynamic details
47. 	 ΔG = -3.3 	 ΔH = -32.0 	 ΔS = -92.6 	 Tm = -2.4°C 	 Image: PNG PDF 	 Thermodynamic details
48. 	 ΔG = -2.1 	 ΔH = -34.2 	 ΔS = -103.5 	 Tm = -2.4°C 	 Image: PNG PDF 	 Thermodynamic details
49. 	 ΔG = -3.7 	 ΔH = -36.2 	 ΔS = -104.9 	 Tm = 10.2°C 	 Image: PNG PDF 	 Thermodynamic details
50. 	 ΔG = -20.7 	 ΔH = -126.1 	 ΔS = -339.9 	 Tm = 71.8°C 	 Image: PNG PDF 	 Thermodynamic details
51. 	 ΔG = -4.2 	 ΔH = -63.6 	 ΔS = -191.4 	 Tm = 19.9°C 	 Image: PNG PDF 	 Thermodynamic details
52. 	 ΔG = -4.4 	 ΔH = -36.4 	 ΔS = -103.2 	 Tm = 9.3°C 	 Image: PNG PDF 	 Thermodynamic details
53. 	 ΔG = -20.7 	 ΔH = -126.1 	 ΔS = -339.9 	 Tm = 71.8°C 	 Image: PNG PDF 	 Thermodynamic details
54. 	 ΔG = -2.7 	 ΔH = -31.2 	 ΔS = -91.8 	 Tm = -1.2°C 	 Image: PNG PDF 	 Thermodynamic details
55. 	 ΔG = -6.8 	 ΔH = -41.6 	 ΔS = -112.3 	 Tm = 28.5°C 	 Image: PNG PDF 	 Thermodynamic details
56. 	 ΔG = -4.3 	 ΔH = -37.1 	 ΔS = -105.6 	 Tm = 9.6°C 	 Image: PNG PDF 	 Thermodynamic details
57. 	 ΔG = -4.2 	 ΔH = -63.6 	 ΔS = -191.4 	 Tm = 19.9°C 	 Image: PNG PDF 	 Thermodynamic details
58. 	 ΔG = -6.8 	 ΔH = -41.6 	 ΔS = -112.3 	 Tm = 28.5°C 	 Image: PNG PDF 	 Thermodynamic details
59. 	 ΔG = -6.0 	 ΔH = -61.6 	 ΔS = -179.4 	 Tm = 31.4°C 	 Image: PNG PDF 	 Thermodynamic details
60. 	 ΔG = -5.4 	 ΔH = -33.3 	 ΔS = -90.1 	 Tm = 14.7°C 	 Image: PNG PDF 	 Thermodynamic details
61. 	 ΔG = -4.4 	 ΔH = -36.4 	 ΔS = -103.2 	 Tm = 9.3°C 	 Image: PNG PDF 	 Thermodynamic details
62. 	 ΔG = -4.3 	 ΔH = -37.1 	 ΔS = -105.6 	 Tm = 9.6°C 	 Image: PNG PDF 	 Thermodynamic details
63. 	 ΔG = -5.4 	 ΔH = -33.3 	 ΔS = -90.1 	 Tm = 14.7°C 	 Image: PNG PDF 	 Thermodynamic details
64. 	 ΔG = -8.9 	 ΔH = -99.7 	 ΔS = -292.7 	 Tm = 42.8°C 	 Image: PNG PDF 	 Thermodynamic details
65. 	 ΔG = -7.1 	 ΔH = -61.4 	 ΔS = -175.1 	 Tm = 36.9°C 	 Image: PNG PDF 	 Thermodynamic details
66. 	 ΔG = -4.0 	 ΔH = -11.2 	 ΔS = -23.1 	 Tm = -43.1°C 	 Image: PNG PDF 	 Thermodynamic details
67. 	 ΔG = -7.9 	 ΔH = -86.8 	 ΔS = -254.4 	 Tm = 36.8°C 	 Image: PNG PDF 	 Thermodynamic details
68. 	 ΔG = -6.3 	 ΔH = -42.0 	 ΔS = -115.1 	 Tm = 25.3°C 	 Image: PNG PDF 	 Thermodynamic details
69. 	 ΔG = -4.0 	 ΔH = -11.2 	 ΔS = -23.1 	 Tm = -43.1°C 	 Image: PNG PDF 	 Thermodynamic details
70. 	 ΔG = -3.8 	 ΔH = -34.0 	 ΔS = -97.3 	 Tm = 9.7°C 	 Image: PNG PDF 	 Thermodynamic details
71. 	 ΔG = -3.2 	 ΔH = -28.5 	 ΔS = -81.5 	 Tm = -7.1°C 	 Image: PNG PDF 	 Thermodynamic details
72. 	 ΔG = -4.0 	 ΔH = -31.3 	 ΔS = -87.9 	 Tm = 2.5°C 	 Image: PNG PDF 	 Thermodynamic details
73. 	 ΔG = -7.9 	 ΔH = -86.8 	 ΔS = -254.4 	 Tm = 36.8°C 	 Image: PNG PDF 	 Thermodynamic details
74. 	 ΔG = -3.2 	 ΔH = -28.5 	 ΔS = -81.5 	 Tm = -7.1°C 	 Image: PNG PDF 	 Thermodynamic details
75. 	 ΔG = -3.7 	 ΔH = -53.6 	 ΔS = -161.0 	 Tm = 18.3°C 	 Image: PNG PDF 	 Thermodynamic details
76. 	 ΔG = -3.0 	 ΔH = -23.6 	 ΔS = -66.5 	 Tm = -17.0°C 	 Image: PNG PDF 	 Thermodynamic details
77. 	 ΔG = -6.3 	 ΔH = -42.0 	 ΔS = -115.1 	 Tm = 25.3°C 	 Image: PNG PDF 	 Thermodynamic details
78. 	 ΔG = -4.0 	 ΔH = -31.3 	 ΔS = -87.9 	 Tm = 2.5°C 	 Image: PNG PDF 	 Thermodynamic details
79. 	 ΔG = -3.0 	 ΔH = -23.6 	 ΔS = -66.5 	 Tm = -17.0°C 	 Image: PNG PDF 	 Thermodynamic details
80. 	 ΔG = -3.6 	 ΔH = -23.6 	 ΔS = -64.5 	 Tm = -3.0°C 	 Image: PNG PDF 	 Thermodynamic details
81. 	 ΔG = -4.1 	 ΔH = -17.2 	 ΔS = -42.1 	 Tm = -8.6°C 	 Image: PNG PDF 	 Thermodynamic details
82. 	 ΔG = -4.1 	 ΔH = -30.2 	 ΔS = -84.3 	 Tm = 1.6°C 	 Image: PNG PDF 	 Thermodynamic details
