1. 	 ΔG = -4.4 	 ΔH = -37.7 	 ΔS = -107.3 	 Tm = 10.4°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -4.0 	 ΔH = -28.2 	 ΔS = -78.2 	 Tm = -1.4°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -3.0 	 ΔH = -27.2 	 ΔS = -78.0 	 Tm = -10.6°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -2.8 	 ΔH = -26.0 	 ΔS = -74.9 	 Tm = -14.4°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -1.9 	 ΔH = -29.4 	 ΔS = -88.6 	 Tm = -9.4°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -4.8 	 ΔH = -49.4 	 ΔS = -143.6 	 Tm = 18.7°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -4.4 	 ΔH = -37.4 	 ΔS = -106.4 	 Tm = 10.0°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -4.3 	 ΔH = -32.1 	 ΔS = -89.6 	 Tm = 5.3°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -4.1 	 ΔH = -33.3 	 ΔS = -94.0 	 Tm = 5.2°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -5.1 	 ΔH = -36.4 	 ΔS = -100.9 	 Tm = 14.6°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -4.3 	 ΔH = -65.2 	 ΔS = -196.3 	 Tm = 20.7°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -4.8 	 ΔH = -49.4 	 ΔS = -143.6 	 Tm = 18.7°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -7.3 	 ΔH = -67.0 	 ΔS = -192.4 	 Tm = 38.1°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -3.2 	 ΔH = -31.9 	 ΔS = -92.4 	 Tm = -2.9°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -3.4 	 ΔH = -28.2 	 ΔS = -79.8 	 Tm = -5.8°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -4.3 	 ΔH = -32.4 	 ΔS = -90.6 	 Tm = 5.5°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -4.0 	 ΔH = -27.9 	 ΔS = -77.2 	 Tm = -1.7°C 	 Image: PNG PDF 	 Thermodynamic details
