1. 	 ΔG = -5.5 	 ΔH = -44.1 	 ΔS = -124.6 	 Tm = 20.4°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -4.1 	 ΔH = -36.9 	 ΔS = -105.9 	 Tm = 7.4°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -3.2 	 ΔH = -30.5 	 ΔS = -87.9 	 Tm = -4.6°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -1.8 	 ΔH = -23.6 	 ΔS = -70.2 	 Tm = -26.8°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -5.2 	 ΔH = -30.9 	 ΔS = -82.9 	 Tm = 19.0°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -5.0 	 ΔH = -37.0 	 ΔS = -103.2 	 Tm = 14.1°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -4.5 	 ΔH = -42.4 	 ΔS = -122.0 	 Tm = 14.0°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -5.6 	 ΔH = -36.2 	 ΔS = -98.8 	 Tm = 17.9°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -5.8 	 ΔH = -28.0 	 ΔS = -71.5 	 Tm = 23.4°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -7.4 	 ΔH = -67.9 	 ΔS = -195.1 	 Tm = 34.4°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -7.5 	 ΔH = -96.4 	 ΔS = -286.6 	 Tm = 35.6°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -5.3 	 ΔH = -41.9 	 ΔS = -118.0 	 Tm = 18.5°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -3.0 	 ΔH = -22.3 	 ΔS = -62.1 	 Tm = -19.1°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -5.1 	 ΔH = -44.2 	 ΔS = -126.0 	 Tm = 18.4°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -3.5 	 ΔH = -33.0 	 ΔS = -95.1 	 Tm = 0.1°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -7.4 	 ΔH = -67.9 	 ΔS = -195.1 	 Tm = 34.4°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -5.3 	 ΔH = -57.4 	 ΔS = -168.1 	 Tm = 27.4°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -6.9 	 ΔH = -43.2 	 ΔS = -117.1 	 Tm = 29.4°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -3.6 	 ΔH = -35.3 	 ΔS = -102.1 	 Tm = 3.2°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -4.0 	 ΔH = -25.8 	 ΔS = -70.3 	 Tm = -4.3°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -4.2 	 ΔH = -34.0 	 ΔS = -96.2 	 Tm = 5.8°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -4.7 	 ΔH = -42.7 	 ΔS = -122.4 	 Tm = 15.3°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -7.5 	 ΔH = -96.4 	 ΔS = -286.6 	 Tm = 35.6°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -6.9 	 ΔH = -43.2 	 ΔS = -117.1 	 Tm = 29.4°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -6.1 	 ΔH = -74.5 	 ΔS = -220.5 	 Tm = 33.0°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -2.7 	 ΔH = -24.4 	 ΔS = -69.9 	 Tm = -17.7°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -5.6 	 ΔH = -31.2 	 ΔS = -82.4 	 Tm = 15.6°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -4.3 	 ΔH = -29.6 	 ΔS = -81.7 	 Tm = 2.7°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -2.9 	 ΔH = -25.2 	 ΔS = -72.0 	 Tm = -14.9°C 	 Image: PNG PDF 	 Thermodynamic details
30. 	 ΔG = -5.3 	 ΔH = -41.9 	 ΔS = -118.0 	 Tm = 18.5°C 	 Image: PNG PDF 	 Thermodynamic details
31. 	 ΔG = -3.6 	 ΔH = -35.3 	 ΔS = -102.1 	 Tm = 3.2°C 	 Image: PNG PDF 	 Thermodynamic details
32. 	 ΔG = -2.7 	 ΔH = -24.4 	 ΔS = -69.9 	 Tm = -17.7°C 	 Image: PNG PDF 	 Thermodynamic details
33. 	 ΔG = -9.1 	 ΔH = -77.8 	 ΔS = -221.5 	 Tm = 45.3°C 	 Image: PNG PDF 	 Thermodynamic details
34. 	 ΔG = -2.9 	 ΔH = -33.7 	 ΔS = -99.2 	 Tm = -3.3°C 	 Image: PNG PDF 	 Thermodynamic details
35. 	 ΔG = -6.1 	 ΔH = -41.3 	 ΔS = -113.5 	 Tm = 23.8°C 	 Image: PNG PDF 	 Thermodynamic details
36. 	 ΔG = -3.2 	 ΔH = -30.2 	 ΔS = -86.9 	 Tm = -4.8°C 	 Image: PNG PDF 	 Thermodynamic details
37. 	 ΔG = -6.3 	 ΔH = -46.8 	 ΔS = -130.7 	 Tm = 31.6°C 	 Image: PNG PDF 	 Thermodynamic details
38. 	 ΔG = -6.3 	 ΔH = -44.5 	 ΔS = -123.1 	 Tm = 26.0°C 	 Image: PNG PDF 	 Thermodynamic details
39. 	 ΔG = -4.0 	 ΔH = -46.7 	 ΔS = -137.5 	 Tm = 13.1°C 	 Image: PNG PDF 	 Thermodynamic details
40. 	 ΔG = -4.3 	 ΔH = -63.0 	 ΔS = -189.4 	 Tm = 19.9°C 	 Image: PNG PDF 	 Thermodynamic details
