1. 	 ΔG = -10.5 	 ΔH = -69.7 	 ΔS = -191.0 	 Tm = 48.6°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -19.6 	 ΔH = -127.2 	 ΔS = -347.0 	 Tm = 68.2°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -4.0 	 ΔH = -40.3 	 ΔS = -116.9 	 Tm = 15.1°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -4.5 	 ΔH = -40.3 	 ΔS = -115.6 	 Tm = 12.3°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -10.5 	 ΔH = -69.7 	 ΔS = -191.0 	 Tm = 48.6°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -12.0 	 ΔH = -76.6 	 ΔS = -208.3 	 Tm = 54.3°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -4.5 	 ΔH = -40.3 	 ΔS = -115.6 	 Tm = 12.3°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -4.0 	 ΔH = -40.3 	 ΔS = -116.9 	 Tm = 15.1°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -5.0 	 ΔH = -39.8 	 ΔS = -112.3 	 Tm = 21.4°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -5.0 	 ΔH = -49.6 	 ΔS = -143.7 	 Tm = 19.7°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -11.5 	 ΔH = -97.4 	 ΔS = -276.8 	 Tm = 48.9°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -19.6 	 ΔH = -127.0 	 ΔS = -346.4 	 Tm = 68.2°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -5.0 	 ΔH = -49.6 	 ΔS = -143.7 	 Tm = 19.7°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -4.6 	 ΔH = -49.6 	 ΔS = -145.1 	 Tm = 22.1°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -19.8 	 ΔH = -132.4 	 ΔS = -363.0 	 Tm = 67.6°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -11.3 	 ΔH = -68.9 	 ΔS = -185.7 	 Tm = 52.8°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -11.5 	 ΔH = -97.4 	 ΔS = -276.8 	 Tm = 48.9°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -19.8 	 ΔH = -132.4 	 ΔS = -363.0 	 Tm = 67.6°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -4.0 	 ΔH = -40.3 	 ΔS = -116.9 	 Tm = 15.1°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -4.5 	 ΔH = -40.3 	 ΔS = -115.6 	 Tm = 12.3°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -19.6 	 ΔH = -127.0 	 ΔS = -346.4 	 Tm = 68.2°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -11.3 	 ΔH = -68.9 	 ΔS = -185.7 	 Tm = 52.8°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -4.5 	 ΔH = -40.3 	 ΔS = -115.6 	 Tm = 12.3°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -4.4 	 ΔH = -23.0 	 ΔS = -60.1 	 Tm = 4.1°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -2.2 	 ΔH = -27.4 	 ΔS = -81.2 	 Tm = -9.8°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -5.6 	 ΔH = -32.9 	 ΔS = -88.2 	 Tm = 16.0°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -5.4 	 ΔH = -34.6 	 ΔS = -94.1 	 Tm = 15.8°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -4.4 	 ΔH = -50.2 	 ΔS = -147.7 	 Tm = 16.5°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -5.6 	 ΔH = -32.9 	 ΔS = -88.2 	 Tm = 16.0°C 	 Image: PNG PDF 	 Thermodynamic details
30. 	 ΔG = -4.2 	 ΔH = -46.2 	 ΔS = -135.4 	 Tm = 18.8°C 	 Image: PNG PDF 	 Thermodynamic details
31. 	 ΔG = -7.0 	 ΔH = -50.9 	 ΔS = -141.4 	 Tm = 31.5°C 	 Image: PNG PDF 	 Thermodynamic details
32. 	 ΔG = -3.4 	 ΔH = -36.5 	 ΔS = -106.9 	 Tm = 2.3°C 	 Image: PNG PDF 	 Thermodynamic details
33. 	 ΔG = -5.4 	 ΔH = -34.6 	 ΔS = -94.1 	 Tm = 15.8°C 	 Image: PNG PDF 	 Thermodynamic details
34. 	 ΔG = -7.0 	 ΔH = -50.9 	 ΔS = -141.4 	 Tm = 31.5°C 	 Image: PNG PDF 	 Thermodynamic details
35. 	 ΔG = -4.5 	 ΔH = -55.2 	 ΔS = -163.5 	 Tm = 23.0°C 	 Image: PNG PDF 	 Thermodynamic details
36. 	 ΔG = -4.0 	 ΔH = -25.7 	 ΔS = -69.9 	 Tm = -4.2°C 	 Image: PNG PDF 	 Thermodynamic details
37. 	 ΔG = -4.4 	 ΔH = -50.2 	 ΔS = -147.7 	 Tm = 16.5°C 	 Image: PNG PDF 	 Thermodynamic details
38. 	 ΔG = -3.4 	 ΔH = -36.5 	 ΔS = -106.9 	 Tm = 2.3°C 	 Image: PNG PDF 	 Thermodynamic details
39. 	 ΔG = -4.0 	 ΔH = -25.7 	 ΔS = -69.9 	 Tm = -4.2°C 	 Image: PNG PDF 	 Thermodynamic details
40. 	 ΔG = -2.1 	 ΔH = -29.8 	 ΔS = -89.3 	 Tm = -7.4°C 	 Image: PNG PDF 	 Thermodynamic details
41. 	 ΔG = -4.5 	 ΔH = -39.7 	 ΔS = -113.5 	 Tm = 17.9°C 	 Image: PNG PDF 	 Thermodynamic details
