43. 	 ΔG = -3.9 	 ΔH = -50.7 	 ΔS = -151.0 	 Tm = 14.0°C 	 Image: PNG PDF 	 Thermodynamic details
44. 	 ΔG = -4.5 	 ΔH = -53.8 	 ΔS = -159.1 	 Tm = 18.1°C 	 Image: PNG PDF 	 Thermodynamic details
45. 	 ΔG = -2.9 	 ΔH = -57.0 	 ΔS = -174.5 	 Tm = 15.7°C 	 Image: PNG PDF 	 Thermodynamic details
46. 	 ΔG = -3.9 	 ΔH = -28.6 	 ΔS = -79.6 	 Tm = -1.5°C 	 Image: PNG PDF 	 Thermodynamic details
47. 	 ΔG = -3.2 	 ΔH = -35.8 	 ΔS = -105.0 	 Tm = 0.8°C 	 Image: PNG PDF 	 Thermodynamic details
48. 	 ΔG = -4.1 	 ΔH = -35.0 	 ΔS = -99.5 	 Tm = 6.5°C 	 Image: PNG PDF 	 Thermodynamic details
49. 	 ΔG = -3.9 	 ΔH = -42.6 	 ΔS = -124.8 	 Tm = 15.3°C 	 Image: PNG PDF 	 Thermodynamic details
50. 	 ΔG = -3.6 	 ΔH = -30.8 	 ΔS = -87.7 	 Tm = -1.3°C 	 Image: PNG PDF 	 Thermodynamic details
51. 	 ΔG = -3.5 	 ΔH = -36.5 	 ΔS = -106.3 	 Tm = 3.5°C 	 Image: PNG PDF 	 Thermodynamic details
52. 	 ΔG = -4.1 	 ΔH = -35.4 	 ΔS = -101.0 	 Tm = 6.3°C 	 Image: PNG PDF 	 Thermodynamic details
53. 	 ΔG = -3.1 	 ΔH = -24.1 	 ΔS = -67.6 	 Tm = -14.7°C 	 Image: PNG PDF 	 Thermodynamic details
54. 	 ΔG = -2.9 	 ΔH = -30.8 	 ΔS = -90.0 	 Tm = -6.7°C 	 Image: PNG PDF 	 Thermodynamic details
55. 	 ΔG = -3.1 	 ΔH = -14.5 	 ΔS = -36.8 	 Tm = -40.9°C 	 Image: PNG PDF 	 Thermodynamic details
56. 	 ΔG = -3.6 	 ΔH = -30.8 	 ΔS = -87.7 	 Tm = -1.3°C 	 Image: PNG PDF 	 Thermodynamic details
57. 	 ΔG = -5.1 	 ΔH = -58.8 	 ΔS = -173.1 	 Tm = 26.9°C 	 Image: PNG PDF 	 Thermodynamic details
58. 	 ΔG = -5.2 	 ΔH = -44.7 	 ΔS = -127.4 	 Tm = 19.0°C 	 Image: PNG PDF 	 Thermodynamic details
59. 	 ΔG = -5.4 	 ΔH = -45.9 	 ΔS = -130.5 	 Tm = 20.9°C 	 Image: PNG PDF 	 Thermodynamic details
60. 	 ΔG = -2.8 	 ΔH = -40.4 	 ΔS = -121.2 	 Tm = 1.9°C 	 Image: PNG PDF 	 Thermodynamic details
61. 	 ΔG = -4.4 	 ΔH = -30.6 	 ΔS = -84.4 	 Tm = 4.9°C 	 Image: PNG PDF 	 Thermodynamic details
62. 	 ΔG = -5.4 	 ΔH = -45.9 	 ΔS = -130.5 	 Tm = 20.9°C 	 Image: PNG PDF 	 Thermodynamic details
63. 	 ΔG = -3.5 	 ΔH = -36.5 	 ΔS = -106.3 	 Tm = 3.5°C 	 Image: PNG PDF 	 Thermodynamic details
64. 	 ΔG = -5.2 	 ΔH = -44.7 	 ΔS = -127.4 	 Tm = 19.0°C 	 Image: PNG PDF 	 Thermodynamic details
65. 	 ΔG = -6.8 	 ΔH = -86.0 	 ΔS = -255.5 	 Tm = 35.8°C 	 Image: PNG PDF 	 Thermodynamic details
66. 	 ΔG = -6.0 	 ΔH = -42.4 	 ΔS = -117.4 	 Tm = 23.2°C 	 Image: PNG PDF 	 Thermodynamic details
67. 	 ΔG = -3.3 	 ΔH = -26.1 	 ΔS = -73.5 	 Tm = -10.0°C 	 Image: PNG PDF 	 Thermodynamic details
68. 	 ΔG = -4.8 	 ΔH = -67.4 	 ΔS = -202.0 	 Tm = 22.9°C 	 Image: PNG PDF 	 Thermodynamic details
69. 	 ΔG = -8.2 	 ΔH = -48.3 	 ΔS = -129.5 	 Tm = 38.3°C 	 Image: PNG PDF 	 Thermodynamic details
70. 	 ΔG = -4.1 	 ΔH = -35.4 	 ΔS = -101.0 	 Tm = 6.3°C 	 Image: PNG PDF 	 Thermodynamic details
71. 	 ΔG = -5.4 	 ΔH = -45.9 	 ΔS = -130.5 	 Tm = 20.9°C 	 Image: PNG PDF 	 Thermodynamic details
72. 	 ΔG = -6.0 	 ΔH = -42.4 	 ΔS = -117.4 	 Tm = 23.2°C 	 Image: PNG PDF 	 Thermodynamic details
73. 	 ΔG = -10.5 	 ΔH = -60.2 	 ΔS = -160.1 	 Tm = 55.8°C 	 Image: PNG PDF 	 Thermodynamic details
74. 	 ΔG = -4.3 	 ΔH = -31.3 	 ΔS = -87.2 	 Tm = 4.3°C 	 Image: PNG PDF 	 Thermodynamic details
75. 	 ΔG = -5.8 	 ΔH = -44.5 	 ΔS = -124.6 	 Tm = 23.0°C 	 Image: PNG PDF 	 Thermodynamic details
76. 	 ΔG = -8.0 	 ΔH = -70.0 	 ΔS = -199.9 	 Tm = 37.2°C 	 Image: PNG PDF 	 Thermodynamic details
77. 	 ΔG = -5.3 	 ΔH = -72.1 	 ΔS = -215.5 	 Tm = 29.4°C 	 Image: PNG PDF 	 Thermodynamic details
78. 	 ΔG = -4.0 	 ΔH = -59.6 	 ΔS = -179.4 	 Tm = 17.5°C 	 Image: PNG PDF 	 Thermodynamic details
79. 	 ΔG = -4.7 	 ΔH = -31.1 	 ΔS = -85.1 	 Tm = 7.7°C 	 Image: PNG PDF 	 Thermodynamic details
80. 	 ΔG = -2.1 	 ΔH = -25.9 	 ΔS = -76.7 	 Tm = -20.1°C 	 Image: PNG PDF 	 Thermodynamic details
81. 	 ΔG = -3.6 	 ΔH = -23.9 	 ΔS = -65.6 	 Tm = -11.1°C 	 Image: PNG PDF 	 Thermodynamic details
82. 	 ΔG = -5.8 	 ΔH = -48.7 	 ΔS = -138.3 	 Tm = 23.9°C 	 Image: PNG PDF 	 Thermodynamic details
83. 	 ΔG = -2.0 	 ΔH = -20.7 	 ΔS = -60.4 	 Tm = -32.4°C 	 Image: PNG PDF 	 Thermodynamic details
84. 	 ΔG = -4.0 	 ΔH = -59.6 	 ΔS = -179.4 	 Tm = 17.5°C 	 Image: PNG PDF 	 Thermodynamic details
85. 	 ΔG = -3.6 	 ΔH = -64.4 	 ΔS = -196.1 	 Tm = 20.9°C 	 Image: PNG PDF 	 Thermodynamic details
86. 	 ΔG = -4.2 	 ΔH = -31.4 	 ΔS = -87.5 	 Tm = 4.3°C 	 Image: PNG PDF 	 Thermodynamic details
87. 	 ΔG = -2.6 	 ΔH = -22.3 	 ΔS = -63.6 	 Tm = -23.4°C 	 Image: PNG PDF 	 Thermodynamic details
88. 	 ΔG = -5.3 	 ΔH = -62.7 	 ΔS = -185.0 	 Tm = 24.5°C 	 Image: PNG PDF 	 Thermodynamic details
89. 	 ΔG = -3.5 	 ΔH = -23.4 	 ΔS = -64.0 	 Tm = -12.1°C 	 Image: PNG PDF 	 Thermodynamic details
90. 	 ΔG = -1.8 	 ΔH = -16.3 	 ΔS = -46.8 	 Tm = -48.0°C 	 Image: PNG PDF 	 Thermodynamic details
91. 	 ΔG = -4.7 	 ΔH = -31.1 	 ΔS = -85.1 	 Tm = 7.7°C 	 Image: PNG PDF 	 Thermodynamic details
92. 	 ΔG = -4.2 	 ΔH = -31.4 	 ΔS = -87.5 	 Tm = 4.3°C 	 Image: PNG PDF 	 Thermodynamic details
93. 	 ΔG = -5.0 	 ΔH = -39.8 	 ΔS = -112.3 	 Tm = 21.4°C 	 Image: PNG PDF 	 Thermodynamic details
94. 	 ΔG = -4.9 	 ΔH = -26.5 	 ΔS = -69.7 	 Tm = 4.7°C 	 Image: PNG PDF 	 Thermodynamic details
95. 	 ΔG = -4.5 	 ΔH = -28.4 	 ΔS = -77.1 	 Tm = 3.3°C 	 Image: PNG PDF 	 Thermodynamic details
