1. 	 ΔG = -7.9 	 ΔH = -66.0 	 ΔS = -187.4 	 Tm = 40.7°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -5.2 	 ΔH = -38.7 	 ΔS = -108.0 	 Tm = 16.4°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -5.0 	 ΔH = -39.3 	 ΔS = -110.5 	 Tm = 15.5°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -7.9 	 ΔH = -68.6 	 ΔS = -195.8 	 Tm = 36.6°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -9.8 	 ΔH = -69.6 	 ΔS = -193.0 	 Tm = 45.2°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -8.0 	 ΔH = -59.0 	 ΔS = -164.5 	 Tm = 37.2°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -19.1 	 ΔH = -121.3 	 ΔS = -329.6 	 Tm = 68.3°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -5.2 	 ΔH = -38.7 	 ΔS = -108.0 	 Tm = 16.4°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -6.7 	 ΔH = -96.7 	 ΔS = -290.2 	 Tm = 35.7°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -5.0 	 ΔH = -39.3 	 ΔS = -110.5 	 Tm = 15.5°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -5.0 	 ΔH = -34.0 	 ΔS = -93.6 	 Tm = 12.1°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -9.6 	 ΔH = -70.6 	 ΔS = -196.8 	 Tm = 44.2°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -9.7 	 ΔH = -101.6 	 ΔS = -296.3 	 Tm = 42.4°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -7.7 	 ΔH = -60.7 	 ΔS = -170.8 	 Tm = 35.9°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -5.0 	 ΔH = -39.3 	 ΔS = -110.5 	 Tm = 15.5°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -5.0 	 ΔH = -39.3 	 ΔS = -110.5 	 Tm = 15.5°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -5.2 	 ΔH = -65.2 	 ΔS = -193.5 	 Tm = 28.2°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -6.4 	 ΔH = -61.2 	 ΔS = -176.8 	 Tm = 29.2°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -7.4 	 ΔH = -60.0 	 ΔS = -169.5 	 Tm = 34.4°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -11.1 	 ΔH = -90.1 	 ΔS = -254.8 	 Tm = 48.2°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -7.4 	 ΔH = -60.0 	 ΔS = -169.5 	 Tm = 34.4°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -7.9 	 ΔH = -68.6 	 ΔS = -195.8 	 Tm = 36.6°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -5.0 	 ΔH = -34.0 	 ΔS = -93.6 	 Tm = 12.1°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -6.4 	 ΔH = -61.2 	 ΔS = -176.8 	 Tm = 29.2°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -7.4 	 ΔH = -68.6 	 ΔS = -197.2 	 Tm = 38.5°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -19.1 	 ΔH = -119.8 	 ΔS = -324.6 	 Tm = 69.0°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -8.0 	 ΔH = -60.2 	 ΔS = -168.3 	 Tm = 37.3°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -8.0 	 ΔH = -59.0 	 ΔS = -164.5 	 Tm = 37.2°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -5.9 	 ΔH = -75.8 	 ΔS = -225.5 	 Tm = 32.1°C 	 Image: PNG PDF 	 Thermodynamic details
30. 	 ΔG = -7.2 	 ΔH = -40.5 	 ΔS = -107.3 	 Tm = 31.5°C 	 Image: PNG PDF 	 Thermodynamic details
31. 	 ΔG = -7.2 	 ΔH = -66.9 	 ΔS = -192.5 	 Tm = 33.6°C 	 Image: PNG PDF 	 Thermodynamic details
32. 	 ΔG = -4.3 	 ΔH = -33.9 	 ΔS = -95.5 	 Tm = 6.7°C 	 Image: PNG PDF 	 Thermodynamic details
33. 	 ΔG = -8.2 	 ΔH = -66.3 	 ΔS = -187.2 	 Tm = 38.4°C 	 Image: PNG PDF 	 Thermodynamic details
34. 	 ΔG = -4.6 	 ΔH = -37.5 	 ΔS = -106.0 	 Tm = 11.8°C 	 Image: PNG PDF 	 Thermodynamic details
35. 	 ΔG = -5.6 	 ΔH = -48.8 	 ΔS = -139.3 	 Tm = 22.7°C 	 Image: PNG PDF 	 Thermodynamic details
36. 	 ΔG = -7.2 	 ΔH = -40.5 	 ΔS = -107.3 	 Tm = 31.5°C 	 Image: PNG PDF 	 Thermodynamic details
37. 	 ΔG = -3.7 	 ΔH = -49.4 	 ΔS = -147.5 	 Tm = 16.8°C 	 Image: PNG PDF 	 Thermodynamic details
38. 	 ΔG = -6.1 	 ΔH = -43.3 	 ΔS = -119.8 	 Tm = 24.6°C 	 Image: PNG PDF 	 Thermodynamic details
39. 	 ΔG = -5.3 	 ΔH = -54.6 	 ΔS = -159.1 	 Tm = 22.5°C 	 Image: PNG PDF 	 Thermodynamic details
40. 	 ΔG = -7.6 	 ΔH = -57.7 	 ΔS = -161.7 	 Tm = 34.9°C 	 Image: PNG PDF 	 Thermodynamic details
41. 	 ΔG = -7.1 	 ΔH = -67.9 	 ΔS = -196.1 	 Tm = 33.1°C 	 Image: PNG PDF 	 Thermodynamic details
42. 	 ΔG = -5.4 	 ΔH = -60.6 	 ΔS = -178.1 	 Tm = 24.3°C 	 Image: PNG PDF 	 Thermodynamic details
43. 	 ΔG = -7.2 	 ΔH = -66.9 	 ΔS = -192.5 	 Tm = 33.6°C 	 Image: PNG PDF 	 Thermodynamic details
44. 	 ΔG = -6.1 	 ΔH = -43.3 	 ΔS = -119.8 	 Tm = 24.6°C 	 Image: PNG PDF 	 Thermodynamic details
45. 	 ΔG = -2.7 	 ΔH = -34.1 	 ΔS = -101.3 	 Tm = 1.5°C 	 Image: PNG PDF 	 Thermodynamic details
46. 	 ΔG = -4.3 	 ΔH = -35.6 	 ΔS = -100.8 	 Tm = 8.4°C 	 Image: PNG PDF 	 Thermodynamic details
47. 	 ΔG = -4.4 	 ΔH = -34.7 	 ΔS = -97.6 	 Tm = 8.5°C 	 Image: PNG PDF 	 Thermodynamic details
48. 	 ΔG = -8.1 	 ΔH = -72.3 	 ΔS = -207.1 	 Tm = 37.5°C 	 Image: PNG PDF 	 Thermodynamic details
49. 	 ΔG = -6.3 	 ΔH = -63.6 	 ΔS = -184.7 	 Tm = 29.2°C 	 Image: PNG PDF 	 Thermodynamic details
50. 	 ΔG = -4.3 	 ΔH = -33.9 	 ΔS = -95.5 	 Tm = 6.7°C 	 Image: PNG PDF 	 Thermodynamic details
51. 	 ΔG = -5.3 	 ΔH = -54.6 	 ΔS = -159.1 	 Tm = 22.5°C 	 Image: PNG PDF 	 Thermodynamic details
52. 	 ΔG = -4.3 	 ΔH = -35.6 	 ΔS = -100.8 	 Tm = 8.4°C 	 Image: PNG PDF 	 Thermodynamic details
53. 	 ΔG = -7.0 	 ΔH = -49.6 	 ΔS = -137.3 	 Tm = 36.5°C 	 Image: PNG PDF 	 Thermodynamic details
54. 	 ΔG = -5.0 	 ΔH = -38.8 	 ΔS = -108.9 	 Tm = 15.2°C 	 Image: PNG PDF 	 Thermodynamic details
55. 	 ΔG = -5.5 	 ΔH = -67.5 	 ΔS = -200.0 	 Tm = 26.0°C 	 Image: PNG PDF 	 Thermodynamic details
56. 	 ΔG = -6.1 	 ΔH = -58.3 	 ΔS = -168.2 	 Tm = 27.6°C 	 Image: PNG PDF 	 Thermodynamic details
57. 	 ΔG = -9.4 	 ΔH = -59.8 	 ΔS = -162.6 	 Tm = 49.3°C 	 Image: PNG PDF 	 Thermodynamic details
58. 	 ΔG = -9.3 	 ΔH = -91.3 	 ΔS = -264.5 	 Tm = 41.5°C 	 Image: PNG PDF 	 Thermodynamic details
59. 	 ΔG = -9.3 	 ΔH = -83.1 	 ΔS = -237.8 	 Tm = 42.3°C 	 Image: PNG PDF 	 Thermodynamic details
60. 	 ΔG = -4.4 	 ΔH = -34.9 	 ΔS = -98.3 	 Tm = 8.5°C 	 Image: PNG PDF 	 Thermodynamic details
61. 	 ΔG = -7.6 	 ΔH = -69.3 	 ΔS = -198.9 	 Tm = 35.5°C 	 Image: PNG PDF 	 Thermodynamic details
62. 	 ΔG = -6.1 	 ΔH = -37.3 	 ΔS = -100.7 	 Tm = 22.2°C 	 Image: PNG PDF 	 Thermodynamic details
63. 	 ΔG = -7.1 	 ΔH = -64.2 	 ΔS = -184.0 	 Tm = 33.1°C 	 Image: PNG PDF 	 Thermodynamic details
64. 	 ΔG = -9.3 	 ΔH = -91.3 	 ΔS = -264.5 	 Tm = 41.5°C 	 Image: PNG PDF 	 Thermodynamic details
65. 	 ΔG = -8.9 	 ΔH = -70.8 	 ΔS = -199.5 	 Tm = 45.3°C 	 Image: PNG PDF 	 Thermodynamic details
66. 	 ΔG = -4.0 	 ΔH = -29.1 	 ΔS = -81.1 	 Tm = -0.5°C 	 Image: PNG PDF 	 Thermodynamic details
67. 	 ΔG = -6.8 	 ΔH = -48.4 	 ΔS = -134.1 	 Tm = 29.9°C 	 Image: PNG PDF 	 Thermodynamic details
68. 	 ΔG = -7.6 	 ΔH = -75.1 	 ΔS = -217.6 	 Tm = 35.6°C 	 Image: PNG PDF 	 Thermodynamic details
69. 	 ΔG = -9.8 	 ΔH = -60.3 	 ΔS = -162.8 	 Tm = 46.9°C 	 Image: PNG PDF 	 Thermodynamic details
70. 	 ΔG = -4.8 	 ΔH = -48.9 	 ΔS = -142.1 	 Tm = 18.4°C 	 Image: PNG PDF 	 Thermodynamic details
71. 	 ΔG = -9.3 	 ΔH = -83.1 	 ΔS = -237.8 	 Tm = 42.3°C 	 Image: PNG PDF 	 Thermodynamic details
72. 	 ΔG = -4.0 	 ΔH = -29.1 	 ΔS = -81.1 	 Tm = -0.5°C 	 Image: PNG PDF 	 Thermodynamic details
73. 	 ΔG = -8.5 	 ΔH = -58.5 	 ΔS = -161.1 	 Tm = 44.8°C 	 Image: PNG PDF 	 Thermodynamic details
74. 	 ΔG = -7.4 	 ΔH = -54.5 	 ΔS = -152.0 	 Tm = 33.7°C 	 Image: PNG PDF 	 Thermodynamic details
75. 	 ΔG = -6.4 	 ΔH = -42.0 	 ΔS = -114.8 	 Tm = 25.9°C 	 Image: PNG PDF 	 Thermodynamic details
76. 	 ΔG = -10.0 	 ΔH = -72.6 	 ΔS = -201.8 	 Tm = 46.1°C 	 Image: PNG PDF 	 Thermodynamic details
77. 	 ΔG = -5.1 	 ΔH = -79.6 	 ΔS = -240.2 	 Tm = 26.3°C 	 Image: PNG PDF 	 Thermodynamic details
78. 	 ΔG = -4.4 	 ΔH = -34.9 	 ΔS = -98.3 	 Tm = 8.5°C 	 Image: PNG PDF 	 Thermodynamic details
79. 	 ΔG = -6.8 	 ΔH = -48.4 	 ΔS = -134.1 	 Tm = 29.9°C 	 Image: PNG PDF 	 Thermodynamic details
80. 	 ΔG = -7.4 	 ΔH = -54.5 	 ΔS = -152.0 	 Tm = 33.7°C 	 Image: PNG PDF 	 Thermodynamic details
81. 	 ΔG = -11.4 	 ΔH = -70.0 	 ΔS = -188.8 	 Tm = 57.5°C 	 Image: PNG PDF 	 Thermodynamic details
82. 	 ΔG = -7.0 	 ΔH = -62.4 	 ΔS = -178.7 	 Tm = 32.3°C 	 Image: PNG PDF 	 Thermodynamic details
83. 	 ΔG = -4.3 	 ΔH = -33.9 	 ΔS = -95.5 	 Tm = 6.7°C 	 Image: PNG PDF 	 Thermodynamic details
84. 	 ΔG = -4.6 	 ΔH = -75.0 	 ΔS = -227.1 	 Tm = 23.6°C 	 Image: PNG PDF 	 Thermodynamic details
85. 	 ΔG = -3.5 	 ΔH = -27.2 	 ΔS = -76.3 	 Tm = 1.2°C 	 Image: PNG PDF 	 Thermodynamic details
86. 	 ΔG = -4.0 	 ΔH = -38.8 	 ΔS = -112.1 	 Tm = 8.6°C 	 Image: PNG PDF 	 Thermodynamic details
