1. 	 ΔG = -9.2 	 ΔH = -100.4 	 ΔS = -294.0 	 Tm = 43.7°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -11.4 	 ΔH = -104.1 	 ΔS = -298.8 	 Tm = 47.7°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -5.3 	 ΔH = -57.9 	 ΔS = -169.6 	 Tm = 23.4°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -8.5 	 ΔH = -53.5 	 ΔS = -145.2 	 Tm = 40.1°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -4.8 	 ΔH = -38.8 	 ΔS = -109.5 	 Tm = 19.9°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -2.8 	 ΔH = -29.6 	 ΔS = -86.5 	 Tm = -9.2°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -5.8 	 ΔH = -39.8 	 ΔS = -109.8 	 Tm = 20.8°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -4.8 	 ΔH = -45.3 	 ΔS = -130.4 	 Tm = 17.1°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -14.5 	 ΔH = -106.2 	 ΔS = -295.8 	 Tm = 57.3°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -6.3 	 ΔH = -43.5 	 ΔS = -119.8 	 Tm = 25.9°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -2.5 	 ΔH = -23.8 	 ΔS = -68.5 	 Tm = -20.4°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -2.8 	 ΔH = -29.6 	 ΔS = -86.5 	 Tm = -9.2°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -2.6 	 ΔH = -30.8 	 ΔS = -91.0 	 Tm = -2.6°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -5.7 	 ΔH = -43.6 	 ΔS = -122.3 	 Tm = 21.7°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -6.7 	 ΔH = -58.2 	 ΔS = -166.0 	 Tm = 30.6°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -15.3 	 ΔH = -111.9 	 ΔS = -311.5 	 Tm = 58.8°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -5.5 	 ΔH = -49.4 	 ΔS = -141.6 	 Tm = 22.3°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -3.6 	 ΔH = -34.1 	 ΔS = -98.4 	 Tm = 1.7°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -5.8 	 ΔH = -39.8 	 ΔS = -109.8 	 Tm = 20.8°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -5.7 	 ΔH = -43.6 	 ΔS = -122.3 	 Tm = 21.7°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -9.0 	 ΔH = -56.4 	 ΔS = -152.9 	 Tm = 47.7°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -4.9 	 ΔH = -57.8 	 ΔS = -170.6 	 Tm = 21.4°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -6.1 	 ΔH = -41.9 	 ΔS = -115.4 	 Tm = 24.0°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -4.1 	 ΔH = -33.7 	 ΔS = -95.4 	 Tm = 5.3°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -5.2 	 ΔH = -32.0 	 ΔS = -86.4 	 Tm = 12.5°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -4.8 	 ΔH = -45.3 	 ΔS = -130.4 	 Tm = 17.1°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -6.7 	 ΔH = -58.2 	 ΔS = -166.0 	 Tm = 30.6°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -4.9 	 ΔH = -57.8 	 ΔS = -170.6 	 Tm = 21.4°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -5.3 	 ΔH = -53.0 	 ΔS = -153.8 	 Tm = 26.8°C 	 Image: PNG PDF 	 Thermodynamic details
30. 	 ΔG = -3.2 	 ΔH = -26.8 	 ΔS = -76.0 	 Tm = -9.4°C 	 Image: PNG PDF 	 Thermodynamic details
31. 	 ΔG = -5.3 	 ΔH = -41.0 	 ΔS = -115.0 	 Tm = 18.4°C 	 Image: PNG PDF 	 Thermodynamic details
32. 	 ΔG = -5.3 	 ΔH = -35.3 	 ΔS = -96.6 	 Tm = 15.6°C 	 Image: PNG PDF 	 Thermodynamic details
33. 	 ΔG = -6.9 	 ΔH = -76.6 	 ΔS = -224.6 	 Tm = 36.4°C 	 Image: PNG PDF 	 Thermodynamic details
34. 	 ΔG = -8.2 	 ΔH = -46.1 	 ΔS = -122.3 	 Tm = 38.5°C 	 Image: PNG PDF 	 Thermodynamic details
35. 	 ΔG = -4.5 	 ΔH = -69.6 	 ΔS = -209.8 	 Tm = 22.4°C 	 Image: PNG PDF 	 Thermodynamic details
36. 	 ΔG = -11.9 	 ΔH = -78.5 	 ΔS = -214.7 	 Tm = 53.5°C 	 Image: PNG PDF 	 Thermodynamic details
37. 	 ΔG = -5.6 	 ΔH = -55.2 	 ΔS = -160.1 	 Tm = 24.1°C 	 Image: PNG PDF 	 Thermodynamic details
38. 	 ΔG = -4.9 	 ΔH = -61.7 	 ΔS = -183.0 	 Tm = 22.6°C 	 Image: PNG PDF 	 Thermodynamic details
39. 	 ΔG = -5.5 	 ΔH = -43.5 	 ΔS = -122.5 	 Tm = 20.5°C 	 Image: PNG PDF 	 Thermodynamic details
40. 	 ΔG = -8.2 	 ΔH = -46.1 	 ΔS = -122.3 	 Tm = 38.5°C 	 Image: PNG PDF 	 Thermodynamic details
41. 	 ΔG = -9.5 	 ΔH = -60.4 	 ΔS = -164.2 	 Tm = 49.7°C 	 Image: PNG PDF 	 Thermodynamic details
42. 	 ΔG = -8.0 	 ΔH = -53.2 	 ΔS = -145.8 	 Tm = 37.1°C 	 Image: PNG PDF 	 Thermodynamic details
43. 	 ΔG = -5.6 	 ΔH = -39.8 	 ΔS = -110.4 	 Tm = 19.5°C 	 Image: PNG PDF 	 Thermodynamic details
44. 	 ΔG = -6.5 	 ΔH = -64.3 	 ΔS = -186.3 	 Tm = 30.3°C 	 Image: PNG PDF 	 Thermodynamic details
45. 	 ΔG = -13.4 	 ΔH = -95.0 	 ΔS = -263.1 	 Tm = 55.8°C 	 Image: PNG PDF 	 Thermodynamic details
46. 	 ΔG = -23.4 	 ΔH = -137.8 	 ΔS = -369.0 	 Tm = 76.1°C 	 Image: PNG PDF 	 Thermodynamic details
47. 	 ΔG = -4.5 	 ΔH = -69.6 	 ΔS = -209.8 	 Tm = 22.4°C 	 Image: PNG PDF 	 Thermodynamic details
48. 	 ΔG = -8.0 	 ΔH = -53.2 	 ΔS = -145.8 	 Tm = 37.1°C 	 Image: PNG PDF 	 Thermodynamic details
49. 	 ΔG = -9.8 	 ΔH = -61.0 	 ΔS = -165.1 	 Tm = 51.3°C 	 Image: PNG PDF 	 Thermodynamic details
50. 	 ΔG = -6.4 	 ΔH = -42.2 	 ΔS = -115.4 	 Tm = 26.0°C 	 Image: PNG PDF 	 Thermodynamic details
51. 	 ΔG = -5.0 	 ΔH = -53.7 	 ΔS = -157.0 	 Tm = 21.0°C 	 Image: PNG PDF 	 Thermodynamic details
52. 	 ΔG = -13.1 	 ΔH = -93.9 	 ΔS = -260.5 	 Tm = 55.0°C 	 Image: PNG PDF 	 Thermodynamic details
53. 	 ΔG = -10.8 	 ΔH = -87.1 	 ΔS = -246.1 	 Tm = 47.4°C 	 Image: PNG PDF 	 Thermodynamic details
54. 	 ΔG = -11.9 	 ΔH = -78.5 	 ΔS = -214.7 	 Tm = 53.5°C 	 Image: PNG PDF 	 Thermodynamic details
55. 	 ΔG = -5.6 	 ΔH = -39.8 	 ΔS = -110.4 	 Tm = 19.5°C 	 Image: PNG PDF 	 Thermodynamic details
56. 	 ΔG = -6.4 	 ΔH = -42.2 	 ΔS = -115.4 	 Tm = 26.0°C 	 Image: PNG PDF 	 Thermodynamic details
57. 	 ΔG = -4.2 	 ΔH = -31.2 	 ΔS = -87.0 	 Tm = 10.8°C 	 Image: PNG PDF 	 Thermodynamic details
58. 	 ΔG = -4.4 	 ΔH = -37.9 	 ΔS = -107.9 	 Tm = 10.6°C 	 Image: PNG PDF 	 Thermodynamic details
59. 	 ΔG = -23.5 	 ΔH = -136.8 	 ΔS = -365.3 	 Tm = 76.8°C 	 Image: PNG PDF 	 Thermodynamic details
60. 	 ΔG = -9.2 	 ΔH = -75.5 	 ΔS = -213.8 	 Tm = 42.2°C 	 Image: PNG PDF 	 Thermodynamic details
61. 	 ΔG = -3.6 	 ΔH = -46.6 	 ΔS = -138.7 	 Tm = 15.3°C 	 Image: PNG PDF 	 Thermodynamic details
62. 	 ΔG = -5.3 	 ΔH = -57.4 	 ΔS = -168.0 	 Tm = 23.4°C 	 Image: PNG PDF 	 Thermodynamic details
63. 	 ΔG = -3.5 	 ΔH = -35.1 	 ΔS = -102.0 	 Tm = 1.8°C 	 Image: PNG PDF 	 Thermodynamic details
64. 	 ΔG = -4.2 	 ΔH = -67.6 	 ΔS = -204.3 	 Tm = 20.8°C 	 Image: PNG PDF 	 Thermodynamic details
65. 	 ΔG = -5.8 	 ΔH = -48.8 	 ΔS = -138.5 	 Tm = 24.1°C 	 Image: PNG PDF 	 Thermodynamic details
66. 	 ΔG = -2.9 	 ΔH = -33.5 	 ΔS = -98.8 	 Tm = -3.9°C 	 Image: PNG PDF 	 Thermodynamic details
67. 	 ΔG = -9.3 	 ΔH = -67.2 	 ΔS = -186.6 	 Tm = 43.5°C 	 Image: PNG PDF 	 Thermodynamic details
68. 	 ΔG = -5.3 	 ΔH = -57.4 	 ΔS = -168.0 	 Tm = 23.4°C 	 Image: PNG PDF 	 Thermodynamic details
69. 	 ΔG = -15.2 	 ΔH = -85.6 	 ΔS = -227.1 	 Tm = 69.2°C 	 Image: PNG PDF 	 Thermodynamic details
70. 	 ΔG = -5.2 	 ΔH = -39.3 	 ΔS = -110.0 	 Tm = 16.6°C 	 Image: PNG PDF 	 Thermodynamic details
71. 	 ΔG = -3.5 	 ΔH = -35.1 	 ΔS = -102.0 	 Tm = 2.0°C 	 Image: PNG PDF 	 Thermodynamic details
