1. 	 ΔG = -7.9 	 ΔH = -66.0 	 ΔS = -187.4 	 Tm = 40.7°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -5.2 	 ΔH = -38.7 	 ΔS = -108.0 	 Tm = 16.4°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -5.0 	 ΔH = -39.3 	 ΔS = -110.5 	 Tm = 15.5°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -7.9 	 ΔH = -68.6 	 ΔS = -195.8 	 Tm = 36.6°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -5.2 	 ΔH = -38.7 	 ΔS = -108.0 	 Tm = 16.4°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -6.7 	 ΔH = -96.7 	 ΔS = -290.2 	 Tm = 35.7°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -5.0 	 ΔH = -39.3 	 ΔS = -110.5 	 Tm = 15.5°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -5.0 	 ΔH = -34.0 	 ΔS = -93.6 	 Tm = 12.1°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -5.0 	 ΔH = -39.3 	 ΔS = -110.5 	 Tm = 15.5°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -5.0 	 ΔH = -39.3 	 ΔS = -110.5 	 Tm = 15.5°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -5.2 	 ΔH = -65.2 	 ΔS = -193.5 	 Tm = 28.2°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -6.4 	 ΔH = -61.2 	 ΔS = -176.8 	 Tm = 29.2°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -7.9 	 ΔH = -68.6 	 ΔS = -195.8 	 Tm = 36.6°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -5.0 	 ΔH = -34.0 	 ΔS = -93.6 	 Tm = 12.1°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -6.4 	 ΔH = -61.2 	 ΔS = -176.8 	 Tm = 29.2°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -7.4 	 ΔH = -68.6 	 ΔS = -197.2 	 Tm = 38.5°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -5.9 	 ΔH = -75.8 	 ΔS = -225.5 	 Tm = 32.1°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -7.2 	 ΔH = -40.5 	 ΔS = -107.3 	 Tm = 31.5°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -7.2 	 ΔH = -66.9 	 ΔS = -192.5 	 Tm = 33.6°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -4.3 	 ΔH = -33.9 	 ΔS = -95.5 	 Tm = 6.7°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -7.2 	 ΔH = -40.5 	 ΔS = -107.3 	 Tm = 31.5°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -3.7 	 ΔH = -49.4 	 ΔS = -147.5 	 Tm = 16.8°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -6.1 	 ΔH = -43.3 	 ΔS = -119.8 	 Tm = 24.6°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -5.3 	 ΔH = -54.6 	 ΔS = -159.1 	 Tm = 22.5°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -7.2 	 ΔH = -66.9 	 ΔS = -192.5 	 Tm = 33.6°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -6.1 	 ΔH = -43.3 	 ΔS = -119.8 	 Tm = 24.6°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -2.7 	 ΔH = -34.1 	 ΔS = -101.3 	 Tm = 1.5°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -4.3 	 ΔH = -35.6 	 ΔS = -100.8 	 Tm = 8.4°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -4.3 	 ΔH = -33.9 	 ΔS = -95.5 	 Tm = 6.7°C 	 Image: PNG PDF 	 Thermodynamic details
30. 	 ΔG = -5.3 	 ΔH = -54.6 	 ΔS = -159.1 	 Tm = 22.5°C 	 Image: PNG PDF 	 Thermodynamic details
31. 	 ΔG = -4.3 	 ΔH = -35.6 	 ΔS = -100.8 	 Tm = 8.4°C 	 Image: PNG PDF 	 Thermodynamic details
32. 	 ΔG = -7.0 	 ΔH = -49.6 	 ΔS = -137.3 	 Tm = 36.5°C 	 Image: PNG PDF 	 Thermodynamic details
33. 	 ΔG = -9.4 	 ΔH = -59.8 	 ΔS = -162.6 	 Tm = 49.3°C 	 Image: PNG PDF 	 Thermodynamic details
34. 	 ΔG = -9.3 	 ΔH = -91.3 	 ΔS = -264.5 	 Tm = 41.5°C 	 Image: PNG PDF 	 Thermodynamic details
35. 	 ΔG = -9.3 	 ΔH = -83.1 	 ΔS = -237.8 	 Tm = 42.3°C 	 Image: PNG PDF 	 Thermodynamic details
36. 	 ΔG = -4.4 	 ΔH = -34.9 	 ΔS = -98.3 	 Tm = 8.5°C 	 Image: PNG PDF 	 Thermodynamic details
37. 	 ΔG = -9.3 	 ΔH = -91.3 	 ΔS = -264.5 	 Tm = 41.5°C 	 Image: PNG PDF 	 Thermodynamic details
38. 	 ΔG = -8.9 	 ΔH = -70.8 	 ΔS = -199.5 	 Tm = 45.3°C 	 Image: PNG PDF 	 Thermodynamic details
39. 	 ΔG = -4.0 	 ΔH = -29.1 	 ΔS = -81.1 	 Tm = -0.5°C 	 Image: PNG PDF 	 Thermodynamic details
40. 	 ΔG = -6.8 	 ΔH = -48.4 	 ΔS = -134.1 	 Tm = 29.9°C 	 Image: PNG PDF 	 Thermodynamic details
41. 	 ΔG = -9.3 	 ΔH = -83.1 	 ΔS = -237.8 	 Tm = 42.3°C 	 Image: PNG PDF 	 Thermodynamic details
42. 	 ΔG = -4.0 	 ΔH = -29.1 	 ΔS = -81.1 	 Tm = -0.5°C 	 Image: PNG PDF 	 Thermodynamic details
43. 	 ΔG = -8.5 	 ΔH = -58.5 	 ΔS = -161.1 	 Tm = 44.8°C 	 Image: PNG PDF 	 Thermodynamic details
44. 	 ΔG = -7.4 	 ΔH = -54.5 	 ΔS = -152.0 	 Tm = 33.7°C 	 Image: PNG PDF 	 Thermodynamic details
45. 	 ΔG = -4.4 	 ΔH = -34.9 	 ΔS = -98.3 	 Tm = 8.5°C 	 Image: PNG PDF 	 Thermodynamic details
46. 	 ΔG = -6.8 	 ΔH = -48.4 	 ΔS = -134.1 	 Tm = 29.9°C 	 Image: PNG PDF 	 Thermodynamic details
47. 	 ΔG = -7.4 	 ΔH = -54.5 	 ΔS = -152.0 	 Tm = 33.7°C 	 Image: PNG PDF 	 Thermodynamic details
48. 	 ΔG = -11.4 	 ΔH = -70.0 	 ΔS = -188.8 	 Tm = 57.5°C 	 Image: PNG PDF 	 Thermodynamic details
49. 	 ΔG = -3.5 	 ΔH = -27.2 	 ΔS = -76.3 	 Tm = 1.2°C 	 Image: PNG PDF 	 Thermodynamic details
50. 	 ΔG = -4.0 	 ΔH = -38.8 	 ΔS = -112.1 	 Tm = 8.6°C 	 Image: PNG PDF 	 Thermodynamic details
51. 	 ΔG = -5.3 	 ΔH = -41.9 	 ΔS = -118.0 	 Tm = 18.6°C 	 Image: PNG PDF 	 Thermodynamic details
52. 	 ΔG = -10.0 	 ΔH = -58.7 	 ΔS = -157.1 	 Tm = 48.0°C 	 Image: PNG PDF 	 Thermodynamic details
53. 	 ΔG = -4.0 	 ΔH = -38.8 	 ΔS = -112.1 	 Tm = 8.6°C 	 Image: PNG PDF 	 Thermodynamic details
54. 	 ΔG = -5.2 	 ΔH = -73.2 	 ΔS = -219.4 	 Tm = 29.0°C 	 Image: PNG PDF 	 Thermodynamic details
55. 	 ΔG = -6.7 	 ΔH = -60.2 	 ΔS = -172.4 	 Tm = 30.8°C 	 Image: PNG PDF 	 Thermodynamic details
56. 	 ΔG = -5.1 	 ΔH = -46.2 	 ΔS = -132.5 	 Tm = 19.0°C 	 Image: PNG PDF 	 Thermodynamic details
57. 	 ΔG = -5.3 	 ΔH = -41.9 	 ΔS = -118.0 	 Tm = 18.6°C 	 Image: PNG PDF 	 Thermodynamic details
58. 	 ΔG = -6.7 	 ΔH = -60.2 	 ΔS = -172.4 	 Tm = 30.8°C 	 Image: PNG PDF 	 Thermodynamic details
59. 	 ΔG = -5.4 	 ΔH = -40.6 	 ΔS = -113.6 	 Tm = 24.4°C 	 Image: PNG PDF 	 Thermodynamic details
60. 	 ΔG = -13.3 	 ΔH = -78.7 	 ΔS = -210.8 	 Tm = 59.7°C 	 Image: PNG PDF 	 Thermodynamic details
61. 	 ΔG = -10.0 	 ΔH = -58.7 	 ΔS = -157.1 	 Tm = 48.0°C 	 Image: PNG PDF 	 Thermodynamic details
62. 	 ΔG = -5.1 	 ΔH = -46.2 	 ΔS = -132.5 	 Tm = 19.0°C 	 Image: PNG PDF 	 Thermodynamic details
63. 	 ΔG = -13.3 	 ΔH = -78.7 	 ΔS = -210.8 	 Tm = 59.7°C 	 Image: PNG PDF 	 Thermodynamic details
64. 	 ΔG = -9.2 	 ΔH = -66.2 	 ΔS = -183.7 	 Tm = 47.2°C 	 Image: PNG PDF 	 Thermodynamic details
65. 	 ΔG = -9.0 	 ΔH = -79.6 	 ΔS = -227.6 	 Tm = 44.7°C 	 Image: PNG PDF 	 Thermodynamic details
66. 	 ΔG = -7.0 	 ΔH = -43.6 	 ΔS = -118.2 	 Tm = 30.0°C 	 Image: PNG PDF 	 Thermodynamic details
67. 	 ΔG = -5.2 	 ΔH = -48.1 	 ΔS = -138.2 	 Tm = 20.5°C 	 Image: PNG PDF 	 Thermodynamic details
68. 	 ΔG = -4.8 	 ΔH = -57.0 	 ΔS = -168.4 	 Tm = 20.6°C 	 Image: PNG PDF 	 Thermodynamic details
69. 	 ΔG = -7.0 	 ΔH = -43.6 	 ΔS = -118.2 	 Tm = 30.0°C 	 Image: PNG PDF 	 Thermodynamic details
70. 	 ΔG = -14.0 	 ΔH = -91.1 	 ΔS = -248.5 	 Tm = 62.6°C 	 Image: PNG PDF 	 Thermodynamic details
71. 	 ΔG = -7.6 	 ΔH = -57.3 	 ΔS = -160.2 	 Tm = 35.1°C 	 Image: PNG PDF 	 Thermodynamic details
72. 	 ΔG = -6.7 	 ΔH = -86.0 	 ΔS = -255.6 	 Tm = 32.7°C 	 Image: PNG PDF 	 Thermodynamic details
73. 	 ΔG = -5.2 	 ΔH = -48.1 	 ΔS = -138.2 	 Tm = 20.5°C 	 Image: PNG PDF 	 Thermodynamic details
74. 	 ΔG = -7.6 	 ΔH = -57.3 	 ΔS = -160.2 	 Tm = 35.1°C 	 Image: PNG PDF 	 Thermodynamic details
75. 	 ΔG = -3.9 	 ΔH = -43.0 	 ΔS = -126.2 	 Tm = 15.3°C 	 Image: PNG PDF 	 Thermodynamic details
76. 	 ΔG = -7.3 	 ΔH = -54.5 	 ΔS = -152.2 	 Tm = 33.3°C 	 Image: PNG PDF 	 Thermodynamic details
77. 	 ΔG = -4.8 	 ΔH = -57.0 	 ΔS = -168.4 	 Tm = 20.6°C 	 Image: PNG PDF 	 Thermodynamic details
78. 	 ΔG = -6.7 	 ΔH = -86.0 	 ΔS = -255.6 	 Tm = 32.7°C 	 Image: PNG PDF 	 Thermodynamic details
79. 	 ΔG = -7.3 	 ΔH = -54.5 	 ΔS = -152.2 	 Tm = 33.3°C 	 Image: PNG PDF 	 Thermodynamic details
80. 	 ΔG = -10.2 	 ΔH = -93.0 	 ΔS = -266.9 	 Tm = 47.8°C 	 Image: PNG PDF 	 Thermodynamic details
81. 	 ΔG = -7.2 	 ΔH = -45.0 	 ΔS = -121.9 	 Tm = 37.7°C 	 Image: PNG PDF 	 Thermodynamic details
82. 	 ΔG = -6.5 	 ΔH = -57.9 	 ΔS = -165.7 	 Tm = 29.4°C 	 Image: PNG PDF 	 Thermodynamic details
83. 	 ΔG = -4.3 	 ΔH = -34.8 	 ΔS = -98.5 	 Tm = 7.3°C 	 Image: PNG PDF 	 Thermodynamic details
84. 	 ΔG = -4.1 	 ΔH = -31.6 	 ΔS = -88.7 	 Tm = 3.2°C 	 Image: PNG PDF 	 Thermodynamic details
85. 	 ΔG = -6.5 	 ΔH = -57.9 	 ΔS = -165.7 	 Tm = 29.4°C 	 Image: PNG PDF 	 Thermodynamic details
86. 	 ΔG = -8.5 	 ΔH = -78.0 	 ΔS = -224.2 	 Tm = 42.6°C 	 Image: PNG PDF 	 Thermodynamic details
