1. 	 ΔG = -9.9 	 ΔH = -101.0 	 ΔS = -293.7 	 Tm = 45.9°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -4.3 	 ΔH = -55.0 	 ΔS = -163.6 	 Tm = 17.5°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -7.7 	 ΔH = -69.5 	 ΔS = -199.2 	 Tm = 36.0°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -10.7 	 ΔH = -90.5 	 ΔS = -257.2 	 Tm = 46.8°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -4.3 	 ΔH = -55.0 	 ΔS = -163.6 	 Tm = 17.5°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -4.0 	 ΔH = -40.7 	 ΔS = -118.4 	 Tm = 15.0°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -6.7 	 ΔH = -47.2 	 ΔS = -130.5 	 Tm = 29.2°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -3.5 	 ΔH = -30.6 	 ΔS = -87.3 	 Tm = -2.3°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -7.7 	 ΔH = -69.5 	 ΔS = -199.2 	 Tm = 36.0°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -6.7 	 ΔH = -47.2 	 ΔS = -130.5 	 Tm = 29.2°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -4.9 	 ΔH = -64.4 	 ΔS = -191.9 	 Tm = 26.7°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -6.2 	 ΔH = -43.6 	 ΔS = -120.6 	 Tm = 25.1°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -10.7 	 ΔH = -90.5 	 ΔS = -257.2 	 Tm = 46.8°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -3.5 	 ΔH = -30.6 	 ΔS = -87.3 	 Tm = -2.3°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -6.2 	 ΔH = -43.6 	 ΔS = -120.6 	 Tm = 25.1°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -6.9 	 ΔH = -63.0 	 ΔS = -181.0 	 Tm = 35.8°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -8.6 	 ΔH = -51.2 	 ΔS = -137.5 	 Tm = 46.2°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -8.3 	 ΔH = -86.8 	 ΔS = -253.2 	 Tm = 38.1°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -6.3 	 ΔH = -43.5 	 ΔS = -119.8 	 Tm = 25.9°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -6.8 	 ΔH = -39.4 	 ΔS = -105.2 	 Tm = 28.0°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -8.3 	 ΔH = -86.8 	 ΔS = -253.2 	 Tm = 38.1°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -12.0 	 ΔH = -151.0 	 ΔS = -448.3 	 Tm = 47.4°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -8.0 	 ΔH = -66.7 	 ΔS = -189.3 	 Tm = 37.2°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -3.9 	 ΔH = -49.4 	 ΔS = -146.8 	 Tm = 13.4°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -6.3 	 ΔH = -43.5 	 ΔS = -119.8 	 Tm = 25.9°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -8.0 	 ΔH = -66.7 	 ΔS = -189.3 	 Tm = 37.2°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -6.8 	 ΔH = -58.2 	 ΔS = -165.7 	 Tm = 35.5°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -4.5 	 ΔH = -51.1 	 ΔS = -150.3 	 Tm = 17.2°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -6.8 	 ΔH = -39.4 	 ΔS = -105.2 	 Tm = 28.0°C 	 Image: PNG PDF 	 Thermodynamic details
