1. 	 ΔG = -12.0 	 ΔH = -75.1 	 ΔS = -203.5 	 Tm = 54.5°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -2.9 	 ΔH = -24.5 	 ΔS = -69.6 	 Tm = -15.9°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -7.9 	 ΔH = -52.3 	 ΔS = -143.3 	 Tm = 36.5°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -5.2 	 ΔH = -39.3 	 ΔS = -110.0 	 Tm = 16.6°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -10.4 	 ΔH = -56.8 	 ΔS = -149.5 	 Tm = 56.3°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -5.4 	 ΔH = -54.1 	 ΔS = -157.1 	 Tm = 23.0°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -5.6 	 ΔH = -66.8 	 ΔS = -197.2 	 Tm = 26.6°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -12.1 	 ΔH = -74.2 	 ΔS = -200.1 	 Tm = 55.6°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -4.8 	 ΔH = -55.9 	 ΔS = -164.8 	 Tm = 20.5°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -5.3 	 ΔH = -37.8 	 ΔS = -104.8 	 Tm = 16.8°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -4.5 	 ΔH = -44.7 	 ΔS = -129.5 	 Tm = 15.0°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -5.4 	 ΔH = -54.1 	 ΔS = -157.1 	 Tm = 23.0°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -7.9 	 ΔH = -104.9 	 ΔS = -312.9 	 Tm = 39.3°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -5.2 	 ΔH = -34.9 	 ΔS = -95.7 	 Tm = 14.5°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -3.1 	 ΔH = -23.8 	 ΔS = -66.7 	 Tm = -15.4°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -6.9 	 ΔH = -61.6 	 ΔS = -176.3 	 Tm = 31.9°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -12.5 	 ΔH = -81.9 	 ΔS = -223.7 	 Tm = 59.1°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -5.0 	 ΔH = -39.0 	 ΔS = -109.7 	 Tm = 15.1°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -6.5 	 ΔH = -42.5 	 ΔS = -116.1 	 Tm = 26.8°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -7.7 	 ΔH = -71.8 	 ΔS = -206.5 	 Tm = 36.1°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -6.9 	 ΔH = -73.3 	 ΔS = -214.0 	 Tm = 32.8°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -7.5 	 ΔH = -55.7 	 ΔS = -155.3 	 Tm = 34.7°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -7.5 	 ΔH = -53.1 	 ΔS = -147.1 	 Tm = 34.3°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -5.0 	 ΔH = -39.0 	 ΔS = -109.7 	 Tm = 15.1°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -6.6 	 ΔH = -49.8 	 ΔS = -139.3 	 Tm = 33.8°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -7.4 	 ΔH = -67.6 	 ΔS = -194.1 	 Tm = 34.5°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -5.0 	 ΔH = -42.4 	 ΔS = -120.5 	 Tm = 17.0°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -7.5 	 ΔH = -63.5 	 ΔS = -180.7 	 Tm = 34.6°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -12.5 	 ΔH = -77.5 	 ΔS = -209.5 	 Tm = 56.5°C 	 Image: PNG PDF 	 Thermodynamic details
30. 	 ΔG = -4.8 	 ΔH = -41.4 	 ΔS = -118.0 	 Tm = 15.1°C 	 Image: PNG PDF 	 Thermodynamic details
31. 	 ΔG = -6.5 	 ΔH = -42.5 	 ΔS = -116.1 	 Tm = 26.8°C 	 Image: PNG PDF 	 Thermodynamic details
32. 	 ΔG = -7.4 	 ΔH = -67.6 	 ΔS = -194.1 	 Tm = 34.5°C 	 Image: PNG PDF 	 Thermodynamic details
33. 	 ΔG = -7.4 	 ΔH = -56.6 	 ΔS = -158.6 	 Tm = 38.7°C 	 Image: PNG PDF 	 Thermodynamic details
34. 	 ΔG = -2.3 	 ΔH = -25.8 	 ΔS = -75.7 	 Tm = -18.5°C 	 Image: PNG PDF 	 Thermodynamic details
35. 	 ΔG = -6.1 	 ΔH = -39.9 	 ΔS = -109.0 	 Tm = 23.1°C 	 Image: PNG PDF 	 Thermodynamic details
36. 	 ΔG = -11.5 	 ΔH = -73.8 	 ΔS = -200.7 	 Tm = 52.9°C 	 Image: PNG PDF 	 Thermodynamic details
37. 	 ΔG = -3.8 	 ΔH = -33.6 	 ΔS = -96.0 	 Tm = 3.2°C 	 Image: PNG PDF 	 Thermodynamic details
38. 	 ΔG = -7.7 	 ΔH = -71.8 	 ΔS = -206.5 	 Tm = 36.1°C 	 Image: PNG PDF 	 Thermodynamic details
39. 	 ΔG = -5.0 	 ΔH = -42.4 	 ΔS = -120.5 	 Tm = 17.0°C 	 Image: PNG PDF 	 Thermodynamic details
40. 	 ΔG = -2.3 	 ΔH = -25.8 	 ΔS = -75.7 	 Tm = -18.5°C 	 Image: PNG PDF 	 Thermodynamic details
41. 	 ΔG = -3.3 	 ΔH = -44.7 	 ΔS = -133.4 	 Tm = 12.9°C 	 Image: PNG PDF 	 Thermodynamic details
42. 	 ΔG = -3.3 	 ΔH = -33.2 	 ΔS = -96.5 	 Tm = -1.3°C 	 Image: PNG PDF 	 Thermodynamic details
43. 	 ΔG = -3.5 	 ΔH = -37.0 	 ΔS = -108.2 	 Tm = 3.4°C 	 Image: PNG PDF 	 Thermodynamic details
44. 	 ΔG = -3.7 	 ΔH = -50.2 	 ΔS = -150.1 	 Tm = 12.6°C 	 Image: PNG PDF 	 Thermodynamic details
45. 	 ΔG = -3.4 	 ΔH = -42.6 	 ΔS = -126.4 	 Tm = 12.2°C 	 Image: PNG PDF 	 Thermodynamic details
46. 	 ΔG = -3.7 	 ΔH = -22.2 	 ΔS = -59.6 	 Tm = -12.5°C 	 Image: PNG PDF 	 Thermodynamic details
47. 	 ΔG = -2.8 	 ΔH = -22.6 	 ΔS = -63.9 	 Tm = -20.8°C 	 Image: PNG PDF 	 Thermodynamic details
48. 	 ΔG = -3.8 	 ΔH = -42.6 	 ΔS = -125.0 	 Tm = 9.6°C 	 Image: PNG PDF 	 Thermodynamic details
49. 	 ΔG = -3.4 	 ΔH = -23.0 	 ΔS = -63.2 	 Tm = -14.3°C 	 Image: PNG PDF 	 Thermodynamic details
50. 	 ΔG = -4.5 	 ΔH = -42.4 	 ΔS = -122.0 	 Tm = 14.0°C 	 Image: PNG PDF 	 Thermodynamic details
