1. 	 ΔG = -5.2 	 ΔH = -71.4 	 ΔS = -213.4 	 Tm = 25.5°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -4.5 	 ΔH = -33.1 	 ΔS = -92.2 	 Tm = 7.6°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -5.3 	 ΔH = -76.6 	 ΔS = -229.9 	 Tm = 29.9°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -5.5 	 ΔH = -74.3 	 ΔS = -222.0 	 Tm = 26.9°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -5.7 	 ΔH = -52.2 	 ΔS = -149.9 	 Tm = 24.2°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -7.9 	 ΔH = -87.0 	 ΔS = -254.9 	 Tm = 36.9°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -5.5 	 ΔH = -74.3 	 ΔS = -222.0 	 Tm = 26.9°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -6.0 	 ΔH = -42.6 	 ΔS = -117.9 	 Tm = 29.5°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -14.5 	 ΔH = -91.8 	 ΔS = -249.1 	 Tm = 64.3°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -6.5 	 ΔH = -49.9 	 ΔS = -139.8 	 Tm = 28.5°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -10.7 	 ΔH = -94.8 	 ΔS = -271.1 	 Tm = 46.3°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -6.5 	 ΔH = -49.9 	 ΔS = -139.8 	 Tm = 28.5°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -6.5 	 ΔH = -49.9 	 ΔS = -139.8 	 Tm = 28.5°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -4.1 	 ΔH = -59.0 	 ΔS = -177.1 	 Tm = 21.9°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -5.2 	 ΔH = -22.9 	 ΔS = -57.2 	 Tm = 3.2°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -9.1 	 ΔH = -57.5 	 ΔS = -156.1 	 Tm = 43.2°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -10.7 	 ΔH = -94.8 	 ΔS = -271.1 	 Tm = 46.3°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -5.2 	 ΔH = -22.9 	 ΔS = -57.2 	 Tm = 3.2°C 	 Image: PNG PDF 	 Thermodynamic details
