1. 	 ΔG = -4.5 	 ΔH = -32.9 	 ΔS = -91.5 	 Tm = 7.8°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -4.0 	 ΔH = -26.8 	 ΔS = -73.6 	 Tm = -3.0°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -3.6 	 ΔH = -43.0 	 ΔS = -127.2 	 Tm = 13.4°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -4.4 	 ΔH = -34.9 	 ΔS = -98.3 	 Tm = 8.5°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -5.2 	 ΔH = -62.3 	 ΔS = -183.9 	 Tm = 24.1°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -4.4 	 ΔH = -34.9 	 ΔS = -98.3 	 Tm = 8.5°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -4.4 	 ΔH = -34.9 	 ΔS = -98.3 	 Tm = 8.5°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -5.3 	 ΔH = -38.2 	 ΔS = -106.0 	 Tm = 23.2°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -3.9 	 ΔH = -43.0 	 ΔS = -126.2 	 Tm = 15.4°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -4.9 	 ΔH = -42.2 	 ΔS = -120.3 	 Tm = 16.1°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -4.8 	 ΔH = -37.7 	 ΔS = -106.2 	 Tm = 12.7°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -6.6 	 ΔH = -47.3 	 ΔS = -131.4 	 Tm = 28.1°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -4.9 	 ΔH = -42.2 	 ΔS = -120.3 	 Tm = 16.1°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -2.2 	 ΔH = -29.4 	 ΔS = -87.8 	 Tm = -7.5°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -3.3 	 ΔH = -27.4 	 ΔS = -77.6 	 Tm = -7.8°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -2.9 	 ΔH = -30.3 	 ΔS = -88.4 	 Tm = -7.5°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -4.8 	 ΔH = -37.7 	 ΔS = -106.2 	 Tm = 12.7°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -3.3 	 ΔH = -27.4 	 ΔS = -77.6 	 Tm = -7.8°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -5.5 	 ΔH = -60.4 	 ΔS = -177.0 	 Tm = 29.0°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -4.8 	 ΔH = -32.3 	 ΔS = -88.6 	 Tm = 9.7°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -6.6 	 ΔH = -47.3 	 ΔS = -131.4 	 Tm = 28.1°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -2.9 	 ΔH = -30.3 	 ΔS = -88.4 	 Tm = -7.5°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -4.8 	 ΔH = -32.3 	 ΔS = -88.6 	 Tm = 9.7°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -7.4 	 ΔH = -82.4 	 ΔS = -241.8 	 Tm = 38.2°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -4.6 	 ΔH = -26.2 	 ΔS = -69.8 	 Tm = 9.6°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -5.0 	 ΔH = -53.3 	 ΔS = -155.8 	 Tm = 20.6°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -4.0 	 ΔH = -27.5 	 ΔS = -75.7 	 Tm = -1.7°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -3.7 	 ΔH = -21.3 	 ΔS = -56.7 	 Tm = -14.6°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -5.0 	 ΔH = -53.3 	 ΔS = -155.8 	 Tm = 20.6°C 	 Image: PNG PDF 	 Thermodynamic details
30. 	 ΔG = -2.8 	 ΔH = -26.4 	 ΔS = -76.1 	 Tm = -6.5°C 	 Image: PNG PDF 	 Thermodynamic details
31. 	 ΔG = -2.7 	 ΔH = -25.5 	 ΔS = -73.6 	 Tm = -16.2°C 	 Image: PNG PDF 	 Thermodynamic details
32. 	 ΔG = -4.4 	 ΔH = -29.3 	 ΔS = -80.2 	 Tm = 3.7°C 	 Image: PNG PDF 	 Thermodynamic details
33. 	 ΔG = -4.0 	 ΔH = -27.5 	 ΔS = -75.7 	 Tm = -1.7°C 	 Image: PNG PDF 	 Thermodynamic details
34. 	 ΔG = -2.7 	 ΔH = -25.5 	 ΔS = -73.6 	 Tm = -16.2°C 	 Image: PNG PDF 	 Thermodynamic details
35. 	 ΔG = -3.9 	 ΔH = -42.6 	 ΔS = -124.8 	 Tm = 15.3°C 	 Image: PNG PDF 	 Thermodynamic details
36. 	 ΔG = -3.3 	 ΔH = -19.4 	 ΔS = -52.0 	 Tm = -23.3°C 	 Image: PNG PDF 	 Thermodynamic details
37. 	 ΔG = -3.7 	 ΔH = -21.3 	 ΔS = -56.7 	 Tm = -14.6°C 	 Image: PNG PDF 	 Thermodynamic details
38. 	 ΔG = -4.4 	 ΔH = -29.3 	 ΔS = -80.2 	 Tm = 3.7°C 	 Image: PNG PDF 	 Thermodynamic details
39. 	 ΔG = -3.3 	 ΔH = -19.4 	 ΔS = -52.0 	 Tm = -23.3°C 	 Image: PNG PDF 	 Thermodynamic details
40. 	 ΔG = -4.0 	 ΔH = -15.8 	 ΔS = -38.1 	 Tm = -14.0°C 	 Image: PNG PDF 	 Thermodynamic details
41. 	 ΔG = -4.7 	 ΔH = -67.4 	 ΔS = -202.3 	 Tm = 26.2°C 	 Image: PNG PDF 	 Thermodynamic details
42. 	 ΔG = -4.2 	 ΔH = -28.9 	 ΔS = -79.5 	 Tm = 1.8°C 	 Image: PNG PDF 	 Thermodynamic details
43. 	 ΔG = -6.2 	 ΔH = -53.7 	 ΔS = -153.0 	 Tm = 27.4°C 	 Image: PNG PDF 	 Thermodynamic details
44. 	 ΔG = -4.7 	 ΔH = -44.1 	 ΔS = -126.9 	 Tm = 15.9°C 	 Image: PNG PDF 	 Thermodynamic details
45. 	 ΔG = -4.2 	 ΔH = -28.9 	 ΔS = -79.5 	 Tm = 1.8°C 	 Image: PNG PDF 	 Thermodynamic details
46. 	 ΔG = -9.2 	 ΔH = -73.0 	 ΔS = -205.9 	 Tm = 46.0°C 	 Image: PNG PDF 	 Thermodynamic details
47. 	 ΔG = -3.6 	 ΔH = -37.8 	 ΔS = -110.2 	 Tm = 5.1°C 	 Image: PNG PDF 	 Thermodynamic details
48. 	 ΔG = -4.4 	 ΔH = -37.6 	 ΔS = -107.0 	 Tm = 10.3°C 	 Image: PNG PDF 	 Thermodynamic details
49. 	 ΔG = -6.2 	 ΔH = -53.7 	 ΔS = -153.0 	 Tm = 27.4°C 	 Image: PNG PDF 	 Thermodynamic details
50. 	 ΔG = -3.6 	 ΔH = -37.8 	 ΔS = -110.2 	 Tm = 5.1°C 	 Image: PNG PDF 	 Thermodynamic details
51. 	 ΔG = -7.1 	 ΔH = -49.2 	 ΔS = -135.9 	 Tm = 36.8°C 	 Image: PNG PDF 	 Thermodynamic details
52. 	 ΔG = -3.0 	 ΔH = -22.4 	 ΔS = -62.6 	 Tm = -19.3°C 	 Image: PNG PDF 	 Thermodynamic details
53. 	 ΔG = -4.7 	 ΔH = -44.1 	 ΔS = -126.9 	 Tm = 15.9°C 	 Image: PNG PDF 	 Thermodynamic details
54. 	 ΔG = -4.4 	 ΔH = -37.6 	 ΔS = -107.0 	 Tm = 10.3°C 	 Image: PNG PDF 	 Thermodynamic details
55. 	 ΔG = -3.0 	 ΔH = -22.4 	 ΔS = -62.6 	 Tm = -19.3°C 	 Image: PNG PDF 	 Thermodynamic details
56. 	 ΔG = -2.6 	 ΔH = -30.8 	 ΔS = -91.0 	 Tm = -2.6°C 	 Image: PNG PDF 	 Thermodynamic details
57. 	 ΔG = -5.8 	 ΔH = -39.4 	 ΔS = -108.2 	 Tm = 27.4°C 	 Image: PNG PDF 	 Thermodynamic details
58. 	 ΔG = -3.7 	 ΔH = -47.0 	 ΔS = -139.5 	 Tm = 11.5°C 	 Image: PNG PDF 	 Thermodynamic details
59. 	 ΔG = -4.1 	 ΔH = -31.4 	 ΔS = -88.1 	 Tm = 3.0°C 	 Image: PNG PDF 	 Thermodynamic details
60. 	 ΔG = -4.8 	 ΔH = -31.3 	 ΔS = -85.4 	 Tm = 8.7°C 	 Image: PNG PDF 	 Thermodynamic details
61. 	 ΔG = -3.7 	 ΔH = -47.0 	 ΔS = -139.5 	 Tm = 11.5°C 	 Image: PNG PDF 	 Thermodynamic details
62. 	 ΔG = -2.2 	 ΔH = -29.4 	 ΔS = -87.8 	 Tm = -7.5°C 	 Image: PNG PDF 	 Thermodynamic details
63. 	 ΔG = -3.3 	 ΔH = -23.0 	 ΔS = -63.6 	 Tm = -15.3°C 	 Image: PNG PDF 	 Thermodynamic details
64. 	 ΔG = -2.8 	 ΔH = -29.3 	 ΔS = -85.4 	 Tm = -9.2°C 	 Image: PNG PDF 	 Thermodynamic details
65. 	 ΔG = -4.1 	 ΔH = -31.4 	 ΔS = -88.1 	 Tm = 3.0°C 	 Image: PNG PDF 	 Thermodynamic details
