1. 	 ΔG = -4.5 	 ΔH = -32.9 	 ΔS = -91.5 	 Tm = 7.7°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -2.6 	 ΔH = -24.2 	 ΔS = -69.5 	 Tm = -18.9°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -6.0 	 ΔH = -49.3 	 ΔS = -139.5 	 Tm = 25.3°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -5.8 	 ΔH = -44.5 	 ΔS = -124.7 	 Tm = 22.8°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -7.4 	 ΔH = -68.8 	 ΔS = -198.1 	 Tm = 38.3°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -3.0 	 ΔH = -24.8 	 ΔS = -70.4 	 Tm = -14.8°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -3.8 	 ΔH = -29.3 	 ΔS = -82.1 	 Tm = -1.2°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -4.1 	 ΔH = -30.5 	 ΔS = -85.1 	 Tm = 2.2°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -5.5 	 ΔH = -30.5 	 ΔS = -80.5 	 Tm = 14.2°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -3.9 	 ΔH = -28.3 	 ΔS = -78.7 	 Tm = -2.0°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -2.9 	 ΔH = -34.4 	 ΔS = -101.7 	 Tm = -2.9°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -3.0 	 ΔH = -24.8 	 ΔS = -70.4 	 Tm = -14.8°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -3.1 	 ΔH = -35.6 	 ΔS = -104.7 	 Tm = 5.9°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -2.3 	 ΔH = -21.4 	 ΔS = -61.5 	 Tm = -27.4°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -3.0 	 ΔH = -21.9 	 ΔS = -61.0 	 Tm = -20.5°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -5.8 	 ΔH = -35.4 	 ΔS = -95.3 	 Tm = 19.6°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -11.0 	 ΔH = -112.4 	 ΔS = -327.1 	 Tm = 48.0°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -5.4 	 ΔH = -47.3 	 ΔS = -135.0 	 Tm = 21.3°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -3.1 	 ΔH = -22.2 	 ΔS = -61.5 	 Tm = -18.2°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -6.7 	 ΔH = -49.7 	 ΔS = -138.8 	 Tm = 29.2°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -4.0 	 ΔH = -29.8 	 ΔS = -83.3 	 Tm = 0.5°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -3.0 	 ΔH = -35.6 	 ΔS = -105.1 	 Tm = -0.9°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -3.7 	 ΔH = -26.5 	 ΔS = -73.4 	 Tm = -5.6°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -5.4 	 ΔH = -47.3 	 ΔS = -135.0 	 Tm = 21.3°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -3.9 	 ΔH = -70.2 	 ΔS = -213.9 	 Tm = 23.3°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -3.4 	 ΔH = -40.7 	 ΔS = -120.1 	 Tm = 6.1°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -8.0 	 ΔH = -61.3 	 ΔS = -171.8 	 Tm = 37.4°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -3.5 	 ΔH = -22.1 	 ΔS = -60.1 	 Tm = -15.4°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -2.5 	 ΔH = -29.3 	 ΔS = -86.5 	 Tm = -11.9°C 	 Image: PNG PDF 	 Thermodynamic details
30. 	 ΔG = -6.6 	 ΔH = -78.0 	 ΔS = -230.3 	 Tm = 31.6°C 	 Image: PNG PDF 	 Thermodynamic details
31. 	 ΔG = -3.1 	 ΔH = -22.2 	 ΔS = -61.5 	 Tm = -18.2°C 	 Image: PNG PDF 	 Thermodynamic details
32. 	 ΔG = -3.4 	 ΔH = -40.7 	 ΔS = -120.1 	 Tm = 6.1°C 	 Image: PNG PDF 	 Thermodynamic details
