1. 	 ΔG = -7.8 	 ΔH = -49.6 	 ΔS = -134.8 	 Tm = 36.1°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -4.9 	 ΔH = -45.9 	 ΔS = -132.1 	 Tm = 17.8°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -7.3 	 ΔH = -69.0 	 ΔS = -199.1 	 Tm = 33.9°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -5.1 	 ΔH = -76.1 	 ΔS = -228.8 	 Tm = 26.0°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -4.7 	 ΔH = -76.2 	 ΔS = -230.7 	 Tm = 27.4°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -8.7 	 ΔH = -49.7 	 ΔS = -132.3 	 Tm = 41.5°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -8.9 	 ΔH = -52.9 	 ΔS = -141.9 	 Tm = 42.5°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -8.7 	 ΔH = -75.5 	 ΔS = -215.3 	 Tm = 40.3°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -7.8 	 ΔH = -55.8 	 ΔS = -154.9 	 Tm = 40.8°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -25.2 	 ΔH = -137.0 	 ΔS = -360.4 	 Tm = 81.8°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -9.5 	 ΔH = -80.7 	 ΔS = -229.4 	 Tm = 43.2°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -4.5 	 ΔH = -32.8 	 ΔS = -91.2 	 Tm = 7.6°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -8.2 	 ΔH = -55.8 	 ΔS = -153.5 	 Tm = 38.4°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -4.6 	 ΔH = -48.2 	 ΔS = -140.7 	 Tm = 16.6°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -5.0 	 ΔH = -31.0 	 ΔS = -83.9 	 Tm = 10.0°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -25.2 	 ΔH = -137.0 	 ΔS = -360.4 	 Tm = 81.8°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -12.4 	 ΔH = -84.6 	 ΔS = -232.9 	 Tm = 57.6°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -5.7 	 ΔH = -40.2 	 ΔS = -111.1 	 Tm = 20.8°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -5.2 	 ΔH = -49.4 	 ΔS = -142.6 	 Tm = 20.5°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -12.8 	 ΔH = -84.6 	 ΔS = -231.6 	 Tm = 55.8°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -13.6 	 ΔH = -85.1 	 ΔS = -230.5 	 Tm = 59.1°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -4.7 	 ΔH = -33.5 	 ΔS = -92.8 	 Tm = 9.6°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -9.5 	 ΔH = -80.7 	 ΔS = -229.4 	 Tm = 43.2°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -5.7 	 ΔH = -40.2 	 ΔS = -111.1 	 Tm = 20.8°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -3.9 	 ΔH = -81.8 	 ΔS = -251.2 	 Tm = 25.3°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -3.5 	 ΔH = -27.3 	 ΔS = -76.8 	 Tm = -6.6°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -5.7 	 ΔH = -40.2 	 ΔS = -111.1 	 Tm = 20.8°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -12.8 	 ΔH = -79.4 	 ΔS = -214.8 	 Tm = 57.1°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -5.2 	 ΔH = -31.7 	 ΔS = -85.5 	 Tm = 12.2°C 	 Image: PNG PDF 	 Thermodynamic details
30. 	 ΔG = -4.5 	 ΔH = -32.8 	 ΔS = -91.2 	 Tm = 7.6°C 	 Image: PNG PDF 	 Thermodynamic details
31. 	 ΔG = -5.2 	 ΔH = -49.4 	 ΔS = -142.6 	 Tm = 20.5°C 	 Image: PNG PDF 	 Thermodynamic details
32. 	 ΔG = -3.5 	 ΔH = -27.3 	 ΔS = -76.8 	 Tm = -6.6°C 	 Image: PNG PDF 	 Thermodynamic details
33. 	 ΔG = -10.0 	 ΔH = -60.2 	 ΔS = -162.0 	 Tm = 52.5°C 	 Image: PNG PDF 	 Thermodynamic details
34. 	 ΔG = -5.0 	 ΔH = -45.7 	 ΔS = -131.3 	 Tm = 18.0°C 	 Image: PNG PDF 	 Thermodynamic details
35. 	 ΔG = -4.5 	 ΔH = -32.8 	 ΔS = -91.2 	 Tm = 7.6°C 	 Image: PNG PDF 	 Thermodynamic details
36. 	 ΔG = -4.6 	 ΔH = -35.3 	 ΔS = -98.9 	 Tm = 10.3°C 	 Image: PNG PDF 	 Thermodynamic details
37. 	 ΔG = -4.4 	 ΔH = -48.4 	 ΔS = -141.8 	 Tm = 20.8°C 	 Image: PNG PDF 	 Thermodynamic details
38. 	 ΔG = -5.7 	 ΔH = -70.5 	 ΔS = -208.8 	 Tm = 27.5°C 	 Image: PNG PDF 	 Thermodynamic details
39. 	 ΔG = -5.1 	 ΔH = -42.3 	 ΔS = -120.0 	 Tm = 17.2°C 	 Image: PNG PDF 	 Thermodynamic details
40. 	 ΔG = -4.1 	 ΔH = -34.0 	 ΔS = -96.3 	 Tm = 5.7°C 	 Image: PNG PDF 	 Thermodynamic details
41. 	 ΔG = -15.2 	 ΔH = -95.7 	 ΔS = -259.6 	 Tm = 62.3°C 	 Image: PNG PDF 	 Thermodynamic details
42. 	 ΔG = -5.8 	 ΔH = -40.6 	 ΔS = -112.2 	 Tm = 21.4°C 	 Image: PNG PDF 	 Thermodynamic details
43. 	 ΔG = -4.0 	 ΔH = -31.5 	 ΔS = -88.6 	 Tm = 2.6°C 	 Image: PNG PDF 	 Thermodynamic details
44. 	 ΔG = -5.7 	 ΔH = -70.5 	 ΔS = -208.8 	 Tm = 27.5°C 	 Image: PNG PDF 	 Thermodynamic details
45. 	 ΔG = -5.0 	 ΔH = -35.6 	 ΔS = -98.8 	 Tm = 19.5°C 	 Image: PNG PDF 	 Thermodynamic details
46. 	 ΔG = -8.5 	 ΔH = -92.3 	 ΔS = -270.3 	 Tm = 38.8°C 	 Image: PNG PDF 	 Thermodynamic details
47. 	 ΔG = -6.1 	 ΔH = -37.5 	 ΔS = -101.3 	 Tm = 22.3°C 	 Image: PNG PDF 	 Thermodynamic details
48. 	 ΔG = -15.3 	 ΔH = -98.8 	 ΔS = -269.1 	 Tm = 62.0°C 	 Image: PNG PDF 	 Thermodynamic details
49. 	 ΔG = -6.5 	 ΔH = -60.5 	 ΔS = -174.0 	 Tm = 29.9°C 	 Image: PNG PDF 	 Thermodynamic details
50. 	 ΔG = -9.5 	 ΔH = -62.7 	 ΔS = -171.5 	 Tm = 44.9°C 	 Image: PNG PDF 	 Thermodynamic details
51. 	 ΔG = -5.1 	 ΔH = -42.3 	 ΔS = -120.0 	 Tm = 17.2°C 	 Image: PNG PDF 	 Thermodynamic details
52. 	 ΔG = -8.5 	 ΔH = -92.3 	 ΔS = -270.3 	 Tm = 38.8°C 	 Image: PNG PDF 	 Thermodynamic details
53. 	 ΔG = -13.0 	 ΔH = -71.6 	 ΔS = -189.0 	 Tm = 64.7°C 	 Image: PNG PDF 	 Thermodynamic details
54. 	 ΔG = -7.2 	 ΔH = -66.4 	 ΔS = -190.9 	 Tm = 33.4°C 	 Image: PNG PDF 	 Thermodynamic details
55. 	 ΔG = -6.7 	 ΔH = -45.2 	 ΔS = -124.1 	 Tm = 28.8°C 	 Image: PNG PDF 	 Thermodynamic details
56. 	 ΔG = -6.4 	 ΔH = -44.7 	 ΔS = -123.6 	 Tm = 26.4°C 	 Image: PNG PDF 	 Thermodynamic details
57. 	 ΔG = -5.4 	 ΔH = -76.1 	 ΔS = -228.0 	 Tm = 26.9°C 	 Image: PNG PDF 	 Thermodynamic details
58. 	 ΔG = -4.1 	 ΔH = -34.0 	 ΔS = -96.3 	 Tm = 5.7°C 	 Image: PNG PDF 	 Thermodynamic details
59. 	 ΔG = -6.1 	 ΔH = -37.5 	 ΔS = -101.3 	 Tm = 22.3°C 	 Image: PNG PDF 	 Thermodynamic details
60. 	 ΔG = -7.2 	 ΔH = -66.4 	 ΔS = -190.9 	 Tm = 33.4°C 	 Image: PNG PDF 	 Thermodynamic details
61. 	 ΔG = -6.3 	 ΔH = -39.4 	 ΔS = -106.6 	 Tm = 31.2°C 	 Image: PNG PDF 	 Thermodynamic details
62. 	 ΔG = -4.6 	 ΔH = -33.2 	 ΔS = -92.1 	 Tm = 8.8°C 	 Image: PNG PDF 	 Thermodynamic details
63. 	 ΔG = -10.0 	 ΔH = -65.0 	 ΔS = -177.2 	 Tm = 47.3°C 	 Image: PNG PDF 	 Thermodynamic details
64. 	 ΔG = -7.7 	 ΔH = -65.0 	 ΔS = -184.9 	 Tm = 35.6°C 	 Image: PNG PDF 	 Thermodynamic details
65. 	 ΔG = -10.4 	 ΔH = -57.6 	 ΔS = -152.3 	 Tm = 55.6°C 	 Image: PNG PDF 	 Thermodynamic details
66. 	 ΔG = -4.0 	 ΔH = -26.8 	 ΔS = -73.5 	 Tm = -2.9°C 	 Image: PNG PDF 	 Thermodynamic details
67. 	 ΔG = -2.4 	 ΔH = -22.6 	 ΔS = -65.0 	 Tm = -23.9°C 	 Image: PNG PDF 	 Thermodynamic details
68. 	 ΔG = -4.6 	 ΔH = -43.3 	 ΔS = -124.9 	 Tm = 14.5°C 	 Image: PNG PDF 	 Thermodynamic details
69. 	 ΔG = -4.4 	 ΔH = -35.0 	 ΔS = -98.6 	 Tm = 8.7°C 	 Image: PNG PDF 	 Thermodynamic details
70. 	 ΔG = -5.2 	 ΔH = -45.3 	 ΔS = -129.2 	 Tm = 19.5°C 	 Image: PNG PDF 	 Thermodynamic details
71. 	 ΔG = -6.8 	 ΔH = -74.2 	 ΔS = -217.2 	 Tm = 32.3°C 	 Image: PNG PDF 	 Thermodynamic details
72. 	 ΔG = -4.0 	 ΔH = -26.8 	 ΔS = -73.5 	 Tm = -2.9°C 	 Image: PNG PDF 	 Thermodynamic details
73. 	 ΔG = -5.3 	 ΔH = -51.8 	 ΔS = -150.0 	 Tm = 26.5°C 	 Image: PNG PDF 	 Thermodynamic details
74. 	 ΔG = -2.2 	 ΔH = -15.2 	 ΔS = -42.0 	 Tm = -48.6°C 	 Image: PNG PDF 	 Thermodynamic details
75. 	 ΔG = -7.4 	 ΔH = -57.2 	 ΔS = -160.5 	 Tm = 34.2°C 	 Image: PNG PDF 	 Thermodynamic details
76. 	 ΔG = -5.5 	 ΔH = -39.0 	 ΔS = -108.1 	 Tm = 18.5°C 	 Image: PNG PDF 	 Thermodynamic details
77. 	 ΔG = -4.5 	 ΔH = -83.0 	 ΔS = -253.1 	 Tm = 24.6°C 	 Image: PNG PDF 	 Thermodynamic details
78. 	 ΔG = -5.7 	 ΔH = -48.9 	 ΔS = -139.4 	 Tm = 23.1°C 	 Image: PNG PDF 	 Thermodynamic details
