Sample	sg1_cr1	sg1_cr1:sg2_cr2	sg1_cr1:sg2_cr2:sg3_cr3	sg1_cr1:sg2_cr2:sg3_cr3:sg4_cr4	sg1_cr1:sg2_cr2:sg4_cr4	sg1_cr1:sg3_cr3	sg1_cr1:sg3_cr3:sg4_cr4	sg1_cr1:sg4_cr4	sg2_cr2	sg2_cr2:sg3_cr3	sg2_cr2:sg3_cr3:sg4_cr4	sg2_cr2:sg4_cr4	sg3_cr3	sg3_cr3:sg4_cr4	sg4_cr4
lima.0_37	27	6	0	0	305	0	0	7	1	0	0	7	0	0	0
lima.0_38	4	0	12	167	1	0	0	1	0	0	1	0	0	0	0
lima.0_39	2	0	0	0	0	3	110	4	0	0	0	0	0	5	0
lima.1_16	12	8	0	1	189	0	0	11	0	0	0	9	0	0	0
lima.1_17	13	2	1	206	3	0	8	0	0	0	12	0	0	0	0
lima.1_18	1	0	10	103	2	0	4	1	0	0	0	1	0	1	0
lima.1_19	3	0	3	136	0	0	2	0	0	1	6	0	0	1	0
lima.1_20	9	10	0	0	237	0	0	14	0	0	0	10	0	0	1
lima.1_21	3	2	2	166	6	0	5	0	0	0	1	0	0	0	0
lima.1_22	3	0	4	135	1	0	5	0	0	0	3	1	0	0	0
lima.1_23	1	2	4	162	5	1	6	0	0	0	4	0	1	0	0
lima.1_24	4	0	7	181	7	0	2	0	0	1	8	1	0	1	0
lima.1_25	2	0	2	141	6	0	6	1	0	0	5	0	0	0	0
lima.1_26	2	0	4	151	4	1	1	1	0	0	2	0	0	0	0
lima.1_27	6	0	7	143	5	0	5	1	0	1	3	0	0	0	0
lima.1_28	3	0	2	150	9	0	5	0	0	0	2	1	0	0	0
lima.1_29	4	0	7	162	5	0	5	1	0	1	5	1	0	0	0
lima.1_30	5	0	8	157	2	0	3	0	0	0	2	1	0	0	0
lima.1_31	10	3	81	111	4	1	2	1	0	2	3	0	0	0	0
lima.1_32	13	1	7	225	7	0	6	1	0	0	9	0	0	0	0
lima.1_33	6	0	3	151	5	0	3	1	0	0	2	0	0	0	0
lima.1_34	227	0	1	96	3	1	2	0	0	0	1	0	0	1	1
lima.1_35	12	0	0	0	0	4	160	4	0	0	0	0	0	3	1
lima.1_36	6	7	5	160	5	0	2	0	0	0	5	0	0	0	0
lima.1_37	6	0	5	155	1	0	3	1	0	0	2	0	0	0	0
lima.1_38	10	0	2	127	3	0	5	0	0	0	0	0	0	0	0
lima.1_39	4	1	1	110	2	0	37	2	0	1	3	0	0	2	0
lima.2_16	7	0	6	151	67	0	3	1	0	0	3	3	0	1	0
lima.2_17	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lima.2_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lima.2_19	5	1	5	153	0	0	4	0	0	1	2	0	0	1	0
lima.2_20	6	0	6	210	14	0	4	0	0	0	4	2	0	0	0
lima.2_21	15	0	5	149	3	0	0	0	0	0	10	0	0	1	0
lima.2_22	6	5	174	12	0	3	0	0	0	4	1	0	0	0	0
lima.2_23	5	0	1	140	2	0	2	0	0	0	2	0	0	0	0
lima.2_24	4	2	81	87	3	0	2	0	0	2	3	0	1	0	0
lima.2_25	11	1	39	184	1	2	3	0	0	0	1	0	0	0	0
lima.2_26	3	0	3	114	3	1	4	0	0	0	5	1	0	1	0
lima.2_27	3	1	9	277	1	0	6	1	1	0	13	0	0	0	0
lima.2_28	3	2	1	160	7	0	0	0	0	2	6	0	0	0	0
lima.2_29	4	1	13	181	4	7	11	0	0	0	3	0	0	0	0
lima.2_30	8	0	4	190	5	0	4	0	0	0	5	1	0	1	0
lima.2_31	5	6	0	3	195	0	0	7	1	0	0	2	0	0	0
lima.2_32	27	0	8	287	4	0	5	1	0	0	7	0	0	2	0
lima.2_33	486	0	3	82	2	0	1	0	0	1	4	0	0	1	1
lima.2_34	2	0	7	184	5	0	3	1	0	0	6	0	0	0	0
lima.2_35	4	0	2	167	4	0	2	0	0	0	6	0	0	1	0
lima.2_36	3	2	9	192	4	0	5	0	1	0	8	0	0	0	0
lima.2_37	4	1	2	157	5	1	1	0	0	0	3	0	0	1	0
lima.2_38	14	2	8	218	6	1	6	0	0	0	3	0	0	1	0
lima.2_39	11	2	4	255	97	0	7	2	0	0	14	5	0	0	1
lima.3_16	1	0	4	135	2	0	4	0	0	0	1	1	0	0	0
lima.3_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lima.3_18	15	1	3	97	2	0	1	0	0	0	3	1	1	1	0
lima.3_19	4	1	5	149	4	2	51	2	0	1	1	0	0	3	0
lima.3_20	8	0	7	179	7	0	3	0	1	0	1	0	0	1	0
lima.3_21	1	1	90	65	1	2	0	0	1	4	2	1	0	0	0
lima.3_22	20	0	10	226	8	0	5	0	0	0	5	0	0	1	0
lima.3_23	3	0	6	153	2	0	4	0	0	0	2	0	0	0	0
lima.3_24	9	0	5	176	7	0	6	1	0	0	3	0	0	0	0
lima.3_25	15	0	1	131	3	0	119	4	0	0	1	0	0	4	0
lima.3_26	12	15	4	189	4	0	3	0	0	0	2	0	0	0	0
lima.3_27	23	0	7	271	6	0	2	1	0	0	6	0	0	0	0
lima.3_28	6	0	8	168	1	2	3	0	0	0	5	0	0	1	0
lima.3_29	10	1	6	217	2	0	5	1	0	0	8	0	0	0	0
lima.3_30	17	1	4	202	3	0	2	0	0	0	3	0	1	0	0
lima.3_31	6	0	3	219	2	0	7	0	0	0	8	0	0	0	0
lima.3_32	19	0	3	162	1	0	4	0	0	0	4	0	0	3	0
lima.3_33	76	0	5	139	4	1	4	0	0	0	3	0	0	0	1
lima.3_34	2	1	2	188	3	3	12	0	0	0	1	0	0	1	1
lima.3_35	9	0	4	129	3	0	3	0	0	0	6	0	0	0	0
lima.3_36	6	0	6	298	7	0	3	0	0	0	4	0	0	2	0
lima.3_37	7	0	10	300	12	1	17	1	1	1	3	0	0	1	2
lima.3_38	15	0	10	357	10	0	11	0	0	1	6	2	0	0	0
lima.3_39	12	1	3	255	0	0	6	0	0	1	9	0	0	3	0
lima.4_16	1	2	5	112	1	0	3	0	0	0	3	0	0	0	0
lima.4_17	19	1	3	82	3	1	2	1	0	0	5	0	0	0	0
lima.4_18	3	0	2	111	4	0	2	0	0	0	6	1	0	1	0
lima.4_19	2	1	4	111	0	0	1	0	0	1	2	0	0	0	0
lima.4_20	6	0	2	147	3	0	2	0	0	0	2	0	0	0	0
lima.4_21	0	0	1	1	0	0	0	0	2	3	138	0	1	2	2
lima.4_22	7	1	41	217	6	0	4	0	0	3	5	0	0	1	0
lima.4_23	7	1	4	158	5	0	1	1	0	0	3	0	0	0	0
lima.4_24	70	0	3	165	3	0	2	1	0	0	3	0	0	0	0
lima.4_25	5	0	5	112	2	0	2	1	0	0	3	0	0	1	0
lima.4_26	2	0	5	133	4	0	2	0	0	0	7	0	0	0	0
lima.4_27	3	0	3	54	3	0	1	0	0	0	3	0	0	0	0
lima.4_28	1	0	4	121	2	0	8	1	0	0	3	0	0	0	0
lima.4_29	4	1	6	108	3	0	6	0	0	0	3	0	0	0	0
lima.4_30	9	1	4	115	8	0	5	0	0	0	6	0	0	0	0
lima.4_31	6	1	0	161	2	0	5	0	0	0	1	1	0	1	0
lima.4_32	1	0	2	122	2	0	2	0	0	0	4	0	0	1	0
lima.4_33	15	0	3	151	1	0	2	0	0	0	0	0	0	1	0
lima.4_34	19	0	0	1	0	0	1	180	0	0	0	0	0	3	8
lima.4_35	4	0	1	102	1	2	1	0	0	0	1	0	0	1	0
lima.4_36	1	1	3	148	4	0	3	0	0	0	3	0	1	1	2
lima.4_37	6	0	5	213	6	1	7	1	0	0	3	0	0	0	0
lima.4_38	9	1	5	212	5	0	7	0	0	1	6	2	0	3	0
lima.4_39	0	0	4	126	2	1	2	0	0	0	3	0	0	0	0
lima.5_16	11	0	4	168	5	0	3	0	0	0	5	1	0	0	0
lima.5_17	1	0	4	154	2	0	4	0	0	0	4	0	0	0	0
lima.5_18	8	1	31	147	1	1	4	0	0	1	8	1	0	0	0
lima.5_19	1	0	4	115	3	0	3	0	0	1	6	0	0	0	0
lima.5_20	3	0	4	168	1	0	5	0	0	0	6	1	0	0	0
lima.5_21	8	1	11	273	3	0	8	1	0	0	9	0	0	2	0
lima.5_22	22	1	7	175	4	1	1	0	0	0	7	1	0	0	1
lima.5_23	30	0	10	375	11	0	4	1	1	1	9	0	0	0	0
lima.5_24	17	0	9	204	12	0	7	0	0	1	4	0	0	0	0
lima.5_25	23	1	12	207	5	1	5	0	0	0	5	0	0	4	0
lima.5_26	4	2	2	162	4	0	1	0	0	0	5	0	0	0	0
lima.5_27	16	0	2	207	6	0	2	0	0	0	4	0	0	0	0
lima.5_28	5	0	3	145	2	0	4	0	0	0	8	0	0	0	0
lima.5_29	9	1	4	209	5	0	7	0	0	0	2	0	0	0	0
lima.5_30	8	0	3	203	6	2	3	1	0	0	4	0	0	2	0
lima.5_31	3	1	2	139	59	0	0	1	0	1	1	1	0	0	0
lima.5_32	5	0	0	46	1	0	2	0	0	0	3	2	0	0	3
lima.5_33	3	1	0	124	3	0	4	1	0	0	4	1	0	0	0
lima.5_34	10	1	5	106	4	4	82	2	0	0	3	0	0	4	0
lima.5_35	7	0	5	134	4	0	3	0	0	1	6	0	0	0	0
lima.5_36	4	1	4	117	5	0	2	0	0	1	4	0	0	0	0
lima.5_37	2	0	5	181	4	2	3	0	0	0	3	0	0	1	0
lima.5_38	11	1	8	199	3	1	8	1	1	0	4	0	0	0	0
lima.5_39	147	0	5	156	1	0	2	0	0	1	3	0	0	1	0
lima.6_16	8	0	4	174	3	0	3	1	0	0	4	0	0	1	0
lima.6_17	2	0	2	143	4	0	3	0	0	2	31	0	0	1	0
lima.6_18	5	0	3	139	3	0	4	0	0	0	2	0	0	0	0
lima.6_19	4	0	5	160	3	0	2	1	0	0	3	0	0	0	1
lima.6_20	10	1	0	174	5	0	2	0	1	0	8	1	0	1	0
lima.6_21	10	9	0	0	291	0	0	3	0	0	0	11	0	0	2
lima.6_22	23	1	3	225	14	0	6	0	0	0	7	1	0	1	1
lima.6_23	15	0	6	185	4	0	6	0	0	0	17	1	0	2	0
lima.6_24	9	0	4	270	4	0	3	0	0	0	3	0	0	1	0
lima.6_25	10	0	3	167	2	2	56	3	0	0	0	0	1	1	0
lima.6_26	7	0	6	161	3	0	3	0	0	0	1	0	0	0	0
lima.6_27	316	0	0	2	0	0	0	0	0	0	0	0	0	0	0
lima.6_28	14	0	1	207	6	0	5	0	0	1	6	1	0	0	0
lima.6_29	3	0	4	158	2	0	7	0	0	0	3	0	0	1	0
lima.6_30	17	9	0	1	251	0	0	6	0	0	0	9	0	0	1
lima.6_31	7	0	2	158	8	0	4	0	0	0	4	0	0	0	0
lima.6_32	18	0	3	121	12	0	81	0	0	0	1	0	0	1	1
lima.6_33	33	0	3	152	2	0	2	0	0	1	3	0	0	1	0
lima.6_34	3	0	0	55	1	5	104	4	0	0	1	0	0	1	0
lima.6_35	56	2	6	187	3	0	2	0	0	0	9	0	0	0	0
lima.6_36	3	1	1	146	2	0	2	0	0	0	2	0	0	0	0
lima.6_37	6	0	6	162	0	0	4	0	0	0	7	0	0	0	0
lima.6_38	36	0	6	362	4	0	11	0	0	0	9	0	0	1	0
lima.6_39	10	1	5	290	6	0	6	0	0	0	7	0	1	0	0
lima.7_16	9	0	4	128	8	0	3	0	0	0	1	0	0	0	0
lima.7_17	4	0	4	107	5	0	14	0	0	0	4	0	0	1	0
lima.7_18	3	0	4	141	2	0	0	2	0	0	5	0	0	0	0
lima.7_19	1	0	3	111	2	1	46	0	0	0	3	0	0	1	0
lima.7_20	5	0	6	147	1	0	2	1	0	2	5	0	0	0	0
lima.7_21	7	0	1	136	4	0	1	0	0	1	4	1	0	0	0
lima.7_22	15	1	4	208	21	0	4	0	0	0	5	0	0	1	1
lima.7_23	7	0	1	152	3	0	2	1	1	1	1	0	0	1	0
lima.7_24	4	0	4	165	3	0	3	0	0	0	3	0	0	1	0
lima.7_25	4	1	4	141	3	0	2	0	0	0	5	0	0	0	0
lima.7_26	4	0	6	202	5	1	6	0	0	0	3	0	0	0	0
lima.7_27	6	1	4	187	8	0	2	0	0	1	3	0	0	0	0
lima.7_28	10	2	5	183	9	0	4	1	0	0	6	1	0	0	0
lima.7_29	4	2	3	101	3	1	0	0	0	0	1	1	0	0	0
lima.7_30	4	0	4	160	9	0	2	0	0	0	1	0	0	0	0
lima.7_31	20	0	8	225	12	0	5	1	0	0	2	0	0	0	0
lima.7_32	8	0	3	152	3	0	6	0	0	0	5	0	0	0	0
lima.7_33	4	0	3	128	3	0	1	1	0	1	3	0	0	2	0
lima.7_34	118	0	0	92	0	0	2	0	0	0	4	0	0	0	0
lima.7_35	7	0	3	175	2	0	1	0	0	0	4	1	0	0	0
lima.7_36	2	0	1	154	2	0	4	0	0	0	3	2	0	0	0
lima.7_37	5	0	4	121	4	0	2	0	0	0	1	0	0	0	0
lima.7_38	20	1	8	231	8	0	6	0	0	0	6	1	0	0	0
lima.7_39	11	0	2	166	8	0	2	0	0	0	4	0	0	3	0
lima.8_16	3	0	4	153	2	0	4	0	0	0	1	0	0	0	0
lima.8_17	3	0	1	139	1	0	0	0	0	0	3	0	0	0	0
lima.8_18	1	0	1	114	4	0	0	0	0	0	5	0	0	1	0
lima.8_19	6	0	5	127	3	0	4	0	0	0	3	0	0	0	0
lima.8_20	1	7	5	134	2	0	5	1	0	0	4	0	0	1	0
lima.8_21	3	0	5	136	2	0	2	1	0	0	0	0	0	0	0
lima.8_22	7	0	1	21	0	8	269	5	0	0	1	0	0	6	0
lima.8_23	0	0	4	100	2	0	4	2	0	1	5	0	0	0	0
lima.8_24	4	2	7	158	9	0	4	0	0	0	3	0	0	1	0
lima.8_25	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lima.8_26	8	0	5	166	3	1	2	0	0	0	1	0	0	0	0
lima.8_27	18	0	24	144	1	37	18	2	0	1	2	0	2	1	1
lima.8_28	6	0	3	177	2	0	6	0	0	0	2	1	0	0	0
lima.8_29	1	0	5	79	2	2	51	3	0	0	2	2	0	1	0
lima.8_30	210	2	3	65	1	1	9	0	0	0	2	0	0	0	0
lima.8_31	21	0	1	144	0	0	5	0	0	0	4	0	0	0	0
lima.8_32	9	0	4	182	5	0	3	0	1	0	3	0	0	0	0
lima.8_33	7	0	3	148	0	0	4	0	0	1	7	0	0	0	0
lima.8_34	1	44	17	87	32	0	3	0	0	1	1	1	0	0	0
lima.8_35	5	0	4	144	2	0	3	0	0	0	3	0	0	0	0
lima.8_36	0	0	3	127	4	0	4	0	0	0	1	1	0	1	0
lima.8_37	7	2	10	278	8	0	11	0	0	1	6	0	0	0	0
lima.8_38	2	0	2	96	2	0	3	0	0	0	2	0	0	0	0
lima.8_39	21	4	190	0	0	5	0	0	0	7	0	0	2	0	0
lima.9_16	4	0	10	122	7	0	4	0	0	0	3	0	0	0	0
lima.9_17	14	2	3	131	64	0	4	4	1	0	4	1	0	0	1
lima.9_18	6	0	1	45	1	0	139	2	0	0	0	0	0	3	1
lima.9_19	2	1	2	141	5	0	4	0	0	0	3	0	0	0	0
lima.9_20	0	0	13	143	5	0	7	0	0	0	4	0	0	0	0
lima.9_21	8	0	5	165	4	0	3	0	0	0	4	0	0	0	0
lima.9_22	9	1	3	170	2	1	63	6	0	0	5	2	1	3	0
lima.9_23	1112	0	1	34	1	0	3	0	0	0	0	0	0	0	0
lima.9_24	19	1	1	196	4	0	5	0	0	1	18	0	0	2	0
lima.9_25	12	0	3	210	1	3	18	0	0	1	21	0	0	1	0
lima.9_26	2	0	2	151	3	0	2	0	0	0	6	0	0	0	0
lima.9_27	7	0	5	197	2	0	5	1	0	0	4	0	0	0	0
lima.9_28	1	0	2	122	4	0	3	0	1	0	1	0	0	0	0
lima.9_29	11	4	107	86	0	6	2	0	0	6	1	0	0	0	0
lima.9_30	5	0	2	144	1	0	1	0	0	0	4	0	0	1	0
lima.9_31	0	0	0	0	0	4	92	3	0	0	0	0	0	2	0
lima.9_32	5	0	3	168	3	0	2	0	0	0	1	0	0	0	0
lima.9_33	1	0	2	195	6	0	2	1	0	0	7	0	1	0	0
lima.9_34	2	0	4	227	2	1	6	0	0	2	4	0	0	1	0
lima.9_35	3	0	3	101	6	0	3	0	0	0	3	0	0	0	0
lima.9_36	6	0	2	156	7	0	3	1	0	0	3	0	0	0	0
lima.9_37	4	1	6	198	5	0	3	0	0	0	5	0	0	1	1
lima.9_38	9	1	76	74	0	2	1	0	0	2	1	0	0	0	0
lima.9_39	4	0	4	213	6	0	4	0	0	0	6	1	0	0	0
lima.10_16	3	3	3	132	51	0	2	3	0	0	3	2	0	0	0
lima.10_17	0	0	4	133	1	0	2	0	1	0	35	2	0	2	0
lima.10_18	9	0	3	188	3	1	4	0	1	0	6	0	0	0	0
lima.10_19	3	0	4	202	3	0	2	0	0	0	3	0	0	0	0
lima.10_20	12	0	9	202	3	0	2	1	0	0	5	0	0	1	0
lima.10_21	11	0	29	159	3	1	10	0	0	2	6	0	0	1	0
lima.10_22	11	2	10	358	7	1	4	1	0	0	9	2	0	0	0
lima.10_23	5	1	2	160	6	0	5	0	0	0	4	1	0	0	0
lima.10_24	143	4	2	122	1	0	3	0	1	0	4	0	0	0	0
lima.10_25	8	0	63	184	0	1	1	0	0	1	4	1	1	1	0
lima.10_26	5	1	4	189	11	0	3	0	0	0	1	0	0	0	0
lima.10_27	30	3	3	281	19	0	6	0	0	0	12	0	0	0	0
lima.10_28	12	0	1	229	9	0	1	0	0	1	4	1	0	0	0
lima.10_29	1	0	3	115	0	0	2	0	0	2	0	0	0	0	0
lima.10_30	5	0	3	181	2	0	6	0	0	0	5	0	0	1	0
lima.10_31	12	0	0	46	0	8	192	3	0	0	0	0	0	8	0
lima.10_32	24	1	5	281	5	0	8	1	1	0	8	0	0	1	0
lima.10_33	10	0	2	197	2	0	1	0	0	0	6	0	0	1	0
lima.10_34	8	0	5	236	4	1	1	0	0	0	6	0	0	0	0
lima.10_35	4	0	5	110	0	0	33	0	1	0	2	0	0	2	0
lima.10_36	5	0	5	180	6	0	2	0	0	0	4	0	0	3	0
lima.10_37	5	0	0	19	0	1	10	0	0	9	270	8	2	27	0
lima.10_38	6	0	5	211	5	1	2	0	0	0	2	0	0	0	0
lima.10_39	7	0	5	212	5	0	5	0	1	0	7	1	0	0	0
lima.11_16	14	0	5	167	5	0	5	0	0	1	14	1	0	0	0
lima.11_17	7	1	4	224	5	0	2	0	0	0	8	0	0	0	0
lima.11_18	5	2	3	213	1	0	1	1	0	0	8	1	0	0	0
lima.11_19	1	1	3	170	5	2	2	0	0	0	2	0	0	1	0
lima.11_20	23	2	14	403	5	0	4	0	0	0	10	0	0	1	1
lima.11_21	20	2	12	362	7	1	17	0	0	0	19	1	0	3	0
lima.11_22	28	1	0	184	2	0	2	0	1	0	6	0	0	0	0
lima.11_23	4	0	7	145	15	0	15	2	1	0	2	0	0	0	0
lima.11_24	4	9	3	99	134	1	3	4	0	0	1	3	0	0	0
lima.11_25	4	1	3	256	4	0	4	0	0	0	9	0	0	1	0
lima.11_26	6	0	3	246	4	0	8	0	0	0	5	1	0	0	0
lima.11_27	53	0	4	208	2	0	4	1	0	0	9	0	0	1	1
lima.11_28	12	1	5	217	1	0	6	0	0	1	4	0	0	0	0
lima.11_29	8	1	5	238	5	0	2	0	0	0	8	0	0	0	0
lima.11_30	14	1	5	192	5	0	4	0	0	0	10	0	0	1	0
lima.11_31	15	1	3	263	8	0	4	0	0	0	7	0	0	2	0
lima.11_32	4	0	6	237	6	0	8	0	0	1	7	0	0	1	0
lima.11_33	14	2	7	247	3	1	6	2	0	0	2	0	0	0	0
lima.11_34	4	0	3	224	17	1	4	0	0	0	7	0	0	0	0
lima.11_35	5	0	5	202	5	2	6	0	0	1	7	0	0	0	0
lima.11_36	0	0	5	104	2	0	4	0	0	0	6	0	0	0	0
lima.11_37	8	0	3	198	5	0	2	2	0	0	6	1	0	0	0
lima.11_38	14	2	4	253	7	0	5	1	0	1	6	1	0	3	0
lima.11_39	8	1	4	178	4	0	2	0	0	0	5	0	0	1	0
lima.12_16	18	1	5	185	6	0	27	1	0	0	4	0	0	0	1
lima.12_17	10	2	6	353	7	2	5	3	0	1	9	0	0	0	0
lima.12_18	3	1	8	124	27	0	6	0	0	0	4	3	0	0	0
lima.12_19	2	0	2	187	2	0	2	0	0	0	8	0	0	0	0
lima.12_20	21	0	1	30	0	0	3	0	0	0	1	0	0	0	0
lima.12_21	18	0	4	218	7	0	6	0	0	0	0	0	0	1	0
lima.12_22	16	0	5	260	6	0	5	0	0	0	4	0	0	0	0
lima.12_23	10	0	1	226	8	0	5	1	0	0	5	0	0	0	0
lima.12_24	7	1	4	237	3	1	3	0	0	1	5	1	0	1	0
lima.12_25	202	0	1	103	4	0	2	0	0	1	15	0	0	0	0
lima.12_26	3	0	1	147	9	0	3	1	0	1	0	0	0	0	0
lima.12_27	5	0	9	227	4	0	4	0	0	2	4	0	0	1	0
lima.12_28	0	0	4	223	4	1	2	0	0	0	6	0	0	1	0
lima.12_29	8	1	7	182	4	0	4	0	0	0	27	0	0	1	0
lima.12_30	6	0	3	158	5	0	3	0	0	0	2	0	1	0	0
lima.12_31	15	0	15	204	5	13	3	0	0	0	4	0	0	0	0
lima.12_32	127	0	2	118	2	0	10	0	0	0	0	0	0	1	0
lima.12_33	7	0	5	221	0	1	4	0	0	1	6	0	0	0	0
lima.12_34	4	1	11	301	9	1	8	0	0	1	6	0	0	0	0
lima.12_35	2	0	4	180	5	0	9	1	0	0	3	1	0	2	1
lima.12_36	7	4	5	233	3	1	2	0	0	0	5	1	0	2	0
lima.12_37	12	1	8	311	5	2	8	1	0	0	8	0	0	1	0
lima.12_38	9	2	8	327	9	0	11	0	0	0	9	0	0	1	0
lima.12_39	676	86	4	1	1	0	1	0	2	0	0	0	0	0	0
lima.13_16	4	0	2	175	10	1	2	0	0	0	7	1	0	1	0
lima.13_17	3	0	12	154	10	0	5	0	0	0	3	1	0	0	0
lima.13_18	5	0	5	161	4	0	3	0	0	0	3	0	0	0	0
lima.13_19	0	0	3	97	47	0	1	0	0	0	1	0	0	0	0
lima.13_20	10	0	6	178	8	0	8	0	0	0	22	0	0	1	0
lima.13_21	5	1	2	106	4	3	85	3	0	0	5	0	0	1	0
lima.13_22	15	1	4	246	7	1	10	0	0	0	2	1	0	0	0
lima.13_23	8	0	5	161	3	0	22	0	0	0	2	0	0	2	0
lima.13_24	3	0	2	151	7	0	3	0	0	1	4	0	0	1	0
lima.13_25	4	0	2	111	1	0	1	0	0	0	4	0	0	0	0
lima.13_26	1	0	2	163	3	0	4	0	0	1	20	0	0	0	0
lima.13_27	10	0	8	218	3	0	4	0	0	0	5	1	0	1	0
lima.13_28	1	0	0	156	2	0	2	0	0	1	2	0	0	0	0
lima.13_29	6	0	10	191	4	2	2	0	0	0	6	0	0	0	0
lima.13_30	6	0	2	57	1	0	0	0	0	0	1	0	0	0	0
lima.13_31	2	0	1	119	4	0	1	0	0	0	1	0	0	0	0
lima.13_32	2	0	1	151	4	0	2	0	0	0	3	0	0	0	0
lima.13_33	3	1	24	122	4	1	4	0	0	3	2	0	0	1	1
lima.13_34	1	0	1	140	1	0	4	1	0	0	2	1	0	0	1
lima.13_35	2	0	3	125	1	0	4	0	0	0	4	0	0	0	0
lima.13_36	5	1	6	274	9	0	8	0	0	1	10	1	0	0	0
lima.13_37	3	0	1	144	1	1	4	0	0	0	6	0	0	0	0
lima.13_38	7	0	5	271	9	0	9	2	0	0	6	0	0	1	0
lima.13_39	3	1	7	173	6	0	4	0	0	0	1	0	0	1	0
lima.14_16	9	1	6	189	5	0	22	0	0	0	3	0	0	6	0
lima.14_17	4	2	11	130	20	1	35	1	0	0	0	1	0	1	0
lima.14_18	71	1	2	108	3	0	3	0	0	0	3	0	0	0	0
lima.14_19	9	2	2	199	4	0	0	0	0	0	12	0	0	2	0
lima.14_20	5	0	8	235	5	0	10	0	1	0	3	0	0	0	0
lima.14_21	193	1	3	73	1	0	3	0	0	1	1	0	0	1	0
lima.14_22	9	0	8	257	5	0	6	0	0	0	6	1	0	1	0
lima.14_23	4	1	4	199	4	0	5	0	0	0	0	0	0	1	0
lima.14_24	2	0	6	163	4	0	1	0	0	0	3	1	0	0	0
lima.14_25	14	6	2	156	2	2	31	0	0	1	2	0	0	2	0
lima.14_26	7	0	2	160	3	0	3	0	0	0	4	0	0	0	1
lima.14_27	6	1	8	245	22	1	8	3	0	2	3	0	0	0	1
lima.14_28	2	0	2	111	3	3	31	0	0	0	0	0	0	0	0
lima.14_29	2	1	12	173	4	0	3	0	0	1	17	0	0	0	0
lima.14_30	11	0	0	235	2	0	7	0	0	1	3	1	0	0	0
lima.14_31	9	0	4	225	4	0	1	0	0	0	4	0	1	0	0
lima.14_32	13	1	7	252	12	0	3	0	0	0	4	0	0	0	0
lima.14_33	7	1	7	162	6	0	11	1	0	1	3	0	0	0	0
lima.14_34	9	0	4	182	10	0	3	0	0	0	8	0	0	1	0
lima.14_35	5	0	0	64	2	2	87	1	0	0	1	0	0	0	0
lima.14_36	5	2	2	186	8	0	3	0	0	0	5	0	0	2	0
lima.14_37	9	1	7	295	3	0	7	0	0	1	9	0	0	2	0
lima.14_38	15	0	6	258	7	0	3	0	0	2	6	0	0	0	0
lima.14_39	6	1	5	141	5	0	7	0	0	0	7	0	0	0	0
lima.15_16	5	2	25	166	7	2	26	0	0	1	4	0	0	1	0
lima.15_17	2	1	6	211	7	0	5	0	0	0	5	0	0	0	1
lima.15_18	298	10	0	37	2	0	2	0	0	0	0	0	0	2	0
lima.15_19	6	0	4	168	6	0	3	0	0	0	5	0	0	0	0
