Sample	sg1_cr1	sg1_cr1:sg2_cr2	sg1_cr1:sg2_cr2:sg3_cr3	sg1_cr1:sg2_cr2:sg3_cr3:sg4_cr4	sg1_cr1:sg2_cr2:sg4_cr4	sg1_cr1:sg3_cr3	sg1_cr1:sg3_cr3:sg4_cr4	sg1_cr1:sg4_cr4	sg2_cr2	sg2_cr2:sg3_cr3	sg2_cr2:sg3_cr3:sg4_cr4	sg2_cr2:sg4_cr4	sg3_cr3	sg3_cr3:sg4_cr4	sg4_cr4
lima.0_16	9	1	2	79	1	1	110	2	0	0	2	0	1	4	0
lima.0_17	9	0	2	122	5	0	3	0	0	0	4	0	0	1	0
lima.0_18	4	0	1	90	1	0	0	0	0	0	1	0	0	0	0
lima.0_19	5	0	3	112	4	0	3	0	0	0	3	0	0	0	0
lima.0_20	5	0	5	156	32	0	1	1	0	0	6	2	0	0	0
lima.0_21	5	1	4	159	0	1	2	1	0	0	3	1	0	0	0
lima.0_22	5	0	11	162	3	1	5	0	0	0	3	0	0	0	0
lima.0_23	2	0	2	70	2	1	2	0	0	0	3	0	0	0	0
lima.0_24	49	0	2	73	7	0	1	0	0	2	7	0	0	1	0
lima.0_25	6	0	2	149	2	0	3	0	0	0	6	0	0	0	0
lima.0_26	8	0	5	202	7	1	1	0	0	0	5	0	0	0	0
lima.0_27	9	0	5	239	9	0	5	0	0	0	4	0	0	0	0
lima.0_28	16	0	3	185	2	0	4	0	1	0	9	0	0	0	1
lima.0_29	24	109	2	63	4	0	0	0	1	0	0	0	0	0	0
lima.0_30	5	1	3	80	1	0	2	0	0	0	3	0	0	1	0
lima.0_31	4	2	2	56	11	2	63	4	0	1	23	1	0	10	0
lima.0_32	4	1	4	166	19	0	2	2	0	0	7	1	0	0	0
lima.0_33	15	2	4	180	7	0	2	0	0	0	5	0	0	1	0
lima.0_34	6	0	3	196	1	0	5	1	0	0	4	0	0	0	0
lima.0_35	41	3	5	343	13	0	12	2	0	0	8	1	0	0	0
lima.0_36	13	0	5	174	6	0	7	0	0	1	7	1	0	0	0
