Category	Included_for_CRISPRi	Entrez_ID	Gene_symbol	Achilles_mean_probability	Achilles_common	BlomenHart_intersect	BlomenHart_intersect_DepMap	Hart_3_or_more_lines	Hart_HeLa	Blomen_HAP1_KBM7_intersect
Vacuolation hits	Yes	9443	MED7		Essential	Essential	Essential	Essential	Non-essential	Essential
Vacuolation hits	Yes	7109	TRAPPC10	0.0243117170385785	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2304	FOXE1	0.0461632726408522	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	58497	PRUNE1	0.27487290752172	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	158584	FAAH2		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	782	CACNB1	0.141069128858311	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	8288	EPX	0.0629994216260874	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6283	S100A12	0.0711920079007116	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5682	PSMA1	0.999358750382207	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	29980	DONSON	0.996858814836889	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	26027	ACOT11	0.0248316778330555	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6159	RPL29	0.903638935825921	Essential	Essential	Essential	Essential	Non-essential	Essential
Vacuolation hits	Yes	90806	ANGEL2	0.0286087201391304	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6881	TAF10		Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	326	AIRE		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23229	ARHGEF9		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2264	FGFR4	0.0252466637950909	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23469	PHF3		Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	25807	RHBDD3	0.0256411672105788	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	80318	GKAP1	0.00879391945972926	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84798	C19orf48		N/A	Non-essential	N/A	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3703	STT3A	0.226773113915813	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	57037	ANKMY2	0.0638351672340717	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4647	MYO7A	0.0519596471732136	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6949	TCOF1	0.642892374174456	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	11080	DNAJB4	0.00765937675510927	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	284098	PIGW	0.224372395621655	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	51279	C1RL	0.00342267378956705	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	341116	MS4A10	0.0537903821175952	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	22866	CNKSR2		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5376	PMP22	0.0370740884568641	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5702	PSMC3		Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	57472	CNOT6	0.0641242442537921	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54606	DDX56	0.9936779188392	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	56922	MCCC1	0.0193456571864258	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	222658	KCTD20	0.0168596379209884	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	11157	LSM6	0.919116999196447	Essential	N/A	N/A	N/A	N/A	Essential
Vacuolation hits	Yes	256435	ST6GALNAC3	0.0454001777195417	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	116225	ZMYND19	0.0160213261836065	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	90390	MED30		Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	8671	SLC4A4	0.00925312826206	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	51264	MRPL27	0.835142830351141	Essential	Essential	Essential	Essential	Non-essential	Essential
Vacuolation hits	Yes	23481	PES1	0.914069274331527	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	27433	TOR2A	0.493441521699222	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	130162	CLHC1	0.0376180326703782	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	25803	SPDEF	0.0179286758212875	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	26025	PCDHGA12	0.0274530892140481	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	254295	PHYHD1		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	27076	LYPD3	0.0176193197074992	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	81469	OR2G3	0.0105576446935005	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	55002	TMCO3	0.19484484896562	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	No	553128	KIR2DL5B		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	643085	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	651732	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	653348	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	728200	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	728303	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	728316	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	728628	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	728789	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	728804	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	729715	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	730132	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	730194	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	730240	N/A		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	No	731286	N/A		N/A	N/A	N/A	N/A	N/A	N/A
