Category	Included_for_CRISPRi	Entrez_ID	Gene_symbol	Achilles_mean_probability	Achilles_common	BlomenHart_intersect	BlomenHart_intersect_DepMap	Hart_3_or_more_lines	Hart_HeLa	Blomen_HAP1_KBM7_intersect
Vacuolation hits	Yes	337975	KRTAP20-1	0.0130924374313659	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	440730	TRIM67	0.0157173057550689	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23127	COLGALT2	0.00998862366170073	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	158055	C9orf163		N/A	Non-essential	N/A	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79991	STN1	0.530976243984127	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential
Vacuolation hits	Yes	1774	DNASE1L1		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	170384	FUT11	0.0813185313242615	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	788	SLC25A20	0.12617733686378	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9153	SLC28A2	0.0320502049307343	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57192	MCOLN1	0.018350749175271	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84689	MS4A14	0.00557741031249018	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54851	ANKRD49	0.616170359256521	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	10307	APBB3	0.0313929806127418	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54512	EXOSC4	0.956273277917046	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	79750	ZNF385D	0.00176266204271859	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	286827	TRIM59	0.00245831915828501	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5916	RARG	0.0409514618448502	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79007	DBNDD1	0.106612964263793	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	94056	SYAP1		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	83882	TSPAN10		N/A	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	9167	COX7A2L	0.0335193589604493	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	2775	GNAO1	0.0336006809312046	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	59286	UBL5	0.989719208028536	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	6241	RRM2	0.99823666746461	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	23648	SSBP3	0.73145524845813	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	112401	BIRC8	0.100261228934342	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3053	SERPIND1	0.0558466048471175	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54431	DNAJC10	0.0364673177926408	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6678	SPARC	0.0287891546859487	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	7919	DDX39B	0.526188330437667	Non-essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	51184	GPN3	0.973362420771355	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	23148	NACAD	0.0133748782582705	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6668	SP2	0.436048579657901	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3036	HAS1	0.0155095259781539	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3234	HOXD8	0.0265095113860397	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	8665	EIF3F	0.883727929282722	Essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	340811	AKR1C8P		N/A	N/A	N/A	Non-essential	Non-essential	N/A
